Time	MypongaWtp.Cl(t)	MypongaFws.Cl(t)	MypongaFws.Cl(t-17)	CactusCyn.Temp(t-13)	AldingaRd.Cl(t)	AldingaRd.Cl(t-1)	AldingaRd.Cl(t-3)	AldingaRd.Cl(t-24)	AldingaRd.Cl(t-27)	AldingaRd.Cl(t-47)	AldingaRd.Cl(t+24)
2003-02-03 00	4.8775	1.879166667	1.9	21.675	0.52	0.526666667	0.5375	0.455833333	0.475833333	0.336666667	0.889166667
2003-02-03 01	5.2425	1.8975	1.895833333	22.36666667	0.539166667	0.52	0.5075	0.446666667	0.478333333	0.3675	0.880833333
2003-02-03 02	5.8875	1.92	1.8875	22.91666667	0.574166667	0.539166667	0.526666667	0.435833333	0.469166667	0.31	0.879166667
2003-02-03 03	4.77	1.931666667	1.900833333	23.30833333	0.593333333	0.574166667	0.52	0.425833333	0.455833333	0.335833333	0.898333333
2003-02-03 04	6.4925	1.911666667	1.919166667	23.6	0.600833333	0.593333333	0.539166667	0.42	0.446666667	0.348333333	0.885833333
2003-02-03 05	6.2575	1.915833333	1.92	23.78333333	0.6075	0.600833333	0.574166667	0.410833333	0.435833333	0.35	0.863333333
2003-02-03 06	0.62	1.914166667	1.870833333	23.75	0.626666667	0.6075	0.593333333	0.41	0.425833333	0.341666667	0.8425
2003-02-03 07	0	1.914166667	1.886666667	23.525	0.665	0.626666667	0.600833333	0.411666667	0.42	0.335	0.833333333
2003-02-03 08	0.275	1.891666667	1.894166667	22.78333333	0.6975	0.665	0.6075	0.429166667	0.410833333	0.328333333	0.848333333
2003-02-03 09	4.015	1.886666667	1.84	21.70833333	0.744166667	0.6975	0.626666667	0.444166667	0.41	0.333333333	0.8775
2003-02-03 10	6.3175	1.879166667	1.820833333	21.225	0.76	0.744166667	0.665	0.463333333	0.411666667	0.349166667	0.91
2003-02-03 11	3.245	1.873333333	1.871666667	20.89166667	0.776666667	0.76	0.6975	0.489166667	0.429166667	0.361666667	0.9125
2003-02-03 12	3.2775	1.8175	1.891666667	20.725	0.808333333	0.776666667	0.744166667	0.515	0.444166667	0.385	0.905833333
2003-02-03 13	3.335	1.818333333	1.9125	20.64166667	0.825	0.808333333	0.76	0.6	0.463333333	0.4175	0.901666667
2003-02-03 14	3.2475	1.828333333	1.89	20.60833333	0.830833333	0.825	0.776666667	0.609166667	0.489166667	0.444166667	0.9
2003-02-03 15	3.2875	1.804166667	1.913333333	20.60833333	0.849166667	0.830833333	0.808333333	0.611666667	0.515	0.469166667	0.913333333
2003-02-03 16	3.2275	1.769166667	1.919166667	20.7	0.8325	0.849166667	0.825	0.600833333	0.6	0.491666667	0.880833333
2003-02-03 17	3.28	1.786666667	1.879166667	20.71666667	0.816666667	0.8325	0.830833333	0.595	0.609166667	0.508333333	0.885833333
2003-02-03 18	3.2325	1.820833333	1.8975	20.8	0.823333333	0.816666667	0.849166667	0.5825	0.611666667	0.5175	0.906666667
2003-02-03 19	3.2075	1.831666667	1.92	20.875	0.841666667	0.823333333	0.8325	0.575	0.600833333	0.485833333	0.896666667
2003-02-03 20	3.3775	1.841666667	1.931666667	21.1	0.9075	0.841666667	0.816666667	0.5475	0.595	0.475833333	0.88
2003-02-03 21	3.4225	1.854166667	1.911666667	21.575	0.926666667	0.9075	0.823333333	0.5375	0.5825	0.478333333	0.861666667
2003-02-03 22	3.375	1.836666667	1.915833333	22.175	0.91	0.926666667	0.841666667	0.5075	0.575	0.469166667	0.8525
2003-02-03 23	3.4025	1.848333333	1.914166667	22.86666667	0.895	0.91	0.9075	0.526666667	0.5475	0.455833333	0.7875
2003-02-04 00	3.3775	1.811666667	1.914166667	23.3	0.889166667	0.895	0.926666667	0.52	0.5375	0.446666667	0.781666667
2003-02-04 01	3.385	1.825	1.891666667	23.60833333	0.880833333	0.889166667	0.91	0.539166667	0.5075	0.435833333	0.804166667
2003-02-04 02	3.405	1.839166667	1.886666667	23.96666667	0.879166667	0.880833333	0.895	0.574166667	0.526666667	0.425833333	0.791666667
2003-02-04 03	5.0425	1.8525	1.879166667	24.35833333	0.898333333	0.879166667	0.889166667	0.593333333	0.52	0.42	0.78
2003-02-04 04	0.475	1.836666667	1.873333333	24.675	0.885833333	0.898333333	0.880833333	0.600833333	0.539166667	0.410833333	0.755833333
2003-02-04 05	0	1.8425	1.8175	24.94166667	0.863333333	0.885833333	0.879166667	0.6075	0.574166667	0.41	0.7175
2003-02-04 06	0.4775	1.830833333	1.818333333	25.05	0.8425	0.863333333	0.898333333	0.626666667	0.593333333	0.411666667	0.686666667
2003-02-04 07	3.4125	1.814166667	1.828333333	24.96666667	0.833333333	0.8425	0.885833333	0.665	0.600833333	0.429166667	0.709166667
2003-02-04 08	3.4875	1.8075	1.804166667	24.08333333	0.848333333	0.833333333	0.863333333	0.6975	0.6075	0.444166667	0.725833333
2003-02-04 09	3.415	1.834166667	1.769166667	23.24166667	0.8775	0.848333333	0.8425	0.744166667	0.626666667	0.463333333	0.7275
2003-02-04 10	3.44	1.821666667	1.786666667	22.875	0.91	0.8775	0.833333333	0.76	0.665	0.489166667	0.7325
2003-02-04 11	3.2025	1.8025	1.820833333	22.55833333	0.9125	0.91	0.848333333	0.776666667	0.6975	0.515	0.711666667
2003-02-04 12	3.015	1.784166667	1.831666667	22.35833333	0.905833333	0.9125	0.8775	0.808333333	0.744166667	0.6	0.69
2003-02-04 13	3.035	1.7725	1.841666667	22.125	0.901666667	0.905833333	0.91	0.825	0.76	0.609166667	0.6675
2003-02-04 14	3.08	1.756666667	1.854166667	22.13333333	0.9	0.901666667	0.9125	0.830833333	0.776666667	0.611666667	0.653333333
2003-02-04 15	2.8875	1.750833333	1.836666667	22.15833333	0.913333333	0.9	0.905833333	0.849166667	0.808333333	0.600833333	0.6375
2003-02-04 16	2.905	1.7175	1.848333333	22.15833333	0.880833333	0.913333333	0.901666667	0.8325	0.825	0.595	0.640833333
2003-02-04 17	2.87	1.745	1.811666667	22.21666667	0.885833333	0.880833333	0.9	0.816666667	0.830833333	0.5825	0.629166667
2003-02-04 18	2.82	1.770833333	1.825	22.35	0.906666667	0.885833333	0.913333333	0.823333333	0.849166667	0.575	0.625833333
2003-02-04 19	2.86	1.774166667	1.839166667	22.6	0.896666667	0.906666667	0.880833333	0.841666667	0.8325	0.5475	0.608333333
2003-02-04 20	2.8	1.753333333	1.8525	22.53333333	0.88	0.896666667	0.885833333	0.9075	0.816666667	0.5375	0.639166667
2003-02-04 21	2.8525	1.7575	1.836666667	22.675	0.861666667	0.88	0.906666667	0.926666667	0.823333333	0.5075	0.6375
2003-02-04 22	2.815	1.740833333	1.8425	23.225	0.8525	0.861666667	0.896666667	0.91	0.841666667	0.526666667	0.636666667
2003-02-04 23	2.7925	1.708333333	1.830833333	23.78333333	0.7875	0.8525	0.88	0.895	0.9075	0.52	0.624166667
2003-02-05 00	2.785	1.728333333	1.814166667	24.09166667	0.781666667	0.7875	0.861666667	0.889166667	0.926666667	0.539166667	0.613333333
2003-02-05 01	2.8375	1.768333333	1.8075	24.55	0.804166667	0.781666667	0.8525	0.880833333	0.91	0.574166667	0.600833333
2003-02-05 02	2.815	1.759166667	1.834166667	25.10833333	0.791666667	0.804166667	0.7875	0.879166667	0.895	0.593333333	0.591666667
2003-02-05 03	2.8275	1.6675	1.821666667	25.4	0.78	0.791666667	0.781666667	0.898333333	0.889166667	0.600833333	0.59
2003-02-05 04	2.8425	1.596666667	1.8025	25.73333333	0.755833333	0.78	0.804166667	0.885833333	0.880833333	0.6075	0.588333333
2003-02-05 05	2.8425	1.64	1.784166667	26.08333333	0.7175	0.755833333	0.791666667	0.863333333	0.879166667	0.626666667	0.58
2003-02-05 06	2.8375	1.681666667	1.7725	26.3	0.686666667	0.7175	0.78	0.8425	0.898333333	0.665	0.590833333
2003-02-05 07	2.995	1.709166667	1.756666667	25.375	0.709166667	0.686666667	0.755833333	0.833333333	0.885833333	0.6975	0.618333333
2003-02-05 08	2.8875	1.711666667	1.750833333	23.98333333	0.725833333	0.709166667	0.7175	0.848333333	0.863333333	0.744166667	0.618333333
2003-02-05 09	3.0625	1.755833333	1.7175	23.375	0.7275	0.725833333	0.686666667	0.8775	0.8425	0.76	0.6075
2003-02-05 10	2.98	1.7075	1.745	22.88333333	0.7325	0.7275	0.709166667	0.91	0.833333333	0.776666667	0.5925
2003-02-05 11	3.0775	1.634166667	1.770833333	22.73333333	0.711666667	0.7325	0.725833333	0.9125	0.848333333	0.808333333	0.583333333
2003-02-05 12	3.0575	1.565833333	1.774166667	22.60833333	0.69	0.711666667	0.7275	0.905833333	0.8775	0.825	0.564166667
2003-02-05 13	3.0075	1.514166667	1.753333333	22.53333333	0.6675	0.69	0.7325	0.901666667	0.91	0.830833333	0.4025
2003-02-05 14	3.005	1.461666667	1.7575	22.275	0.653333333	0.6675	0.711666667	0.9	0.9125	0.849166667	0.578333333
2003-02-05 15	3.155	1.453333333	1.740833333	21.93333333	0.6375	0.653333333	0.69	0.913333333	0.905833333	0.8325	0.62
2003-02-05 16	3.0125	1.56	1.708333333	21.88333333	0.640833333	0.6375	0.6675	0.880833333	0.901666667	0.816666667	0.6525
2003-02-05 17	2.9475	1.614166667	1.728333333	21.90833333	0.629166667	0.640833333	0.653333333	0.885833333	0.9	0.823333333	0.699166667
2003-02-05 18	2.945	1.6775	1.768333333	21.9	0.625833333	0.629166667	0.6375	0.906666667	0.913333333	0.841666667	0.7275
2003-02-05 19	2.885	1.7425	1.759166667	21.8	0.608333333	0.625833333	0.640833333	0.896666667	0.880833333	0.9075	0.743333333
2003-02-05 20	2.88	1.761666667	1.6675	21.69166667	0.639166667	0.608333333	0.629166667	0.88	0.885833333	0.926666667	0.761666667
2003-02-05 21	2.8825	1.798333333	1.596666667	21.85	0.6375	0.639166667	0.625833333	0.861666667	0.906666667	0.91	0.81
2003-02-05 22	2.8575	1.810833333	1.64	22.19166667	0.636666667	0.6375	0.608333333	0.8525	0.896666667	0.895	0.846666667
2003-02-05 23	2.9025	1.8375	1.681666667	22.61666667	0.624166667	0.636666667	0.639166667	0.7875	0.88	0.889166667	0.853333333
2003-02-06 00	2.975	1.830833333	1.709166667	22.89166667	0.613333333	0.624166667	0.6375	0.781666667	0.861666667	0.880833333	0.865833333
2003-02-06 01	3.0025	1.844166667	1.711666667	23.25	0.600833333	0.613333333	0.636666667	0.804166667	0.8525	0.879166667	0.874166667
2003-02-06 02	3.05	1.8475	1.755833333	23.48333333	0.591666667	0.600833333	0.624166667	0.791666667	0.7875	0.898333333	0.890833333
2003-02-06 03	3.0675	1.846666667	1.7075	23.7	0.59	0.591666667	0.613333333	0.78	0.781666667	0.885833333	0.885833333
2003-02-06 04	2.985	1.865833333	1.634166667	23.825	0.588333333	0.59	0.600833333	0.755833333	0.804166667	0.863333333	0.885
2003-02-06 05	3.0075	1.876666667	1.565833333	23.78333333	0.58	0.588333333	0.591666667	0.7175	0.791666667	0.8425	0.8975
2003-02-06 06	3.1125	1.890833333	1.514166667	23.44166667	0.590833333	0.58	0.59	0.686666667	0.78	0.833333333	0.900833333
2003-02-06 07	3.14	1.888333333	1.461666667	22.84166667	0.618333333	0.590833333	0.588333333	0.709166667	0.755833333	0.848333333	0.909166667
2003-02-06 08	3.115	1.9025	1.453333333	22.09166667	0.618333333	0.618333333	0.58	0.725833333	0.7175	0.8775	0.925833333
2003-02-06 09	3.0425	1.891666667	1.56	21.4	0.6075	0.618333333	0.590833333	0.7275	0.686666667	0.91	0.938333333
2003-02-06 10	3.1325	1.924166667	1.614166667	20.99166667	0.5925	0.6075	0.618333333	0.7325	0.709166667	0.9125	0.944166667
2003-02-06 11	3.045	2.1875	1.6775	20.75833333	0.583333333	0.5925	0.618333333	0.711666667	0.725833333	0.905833333	0.946666667
2003-02-06 12	2.955	2.234166667	1.7425	20.61666667	0.564166667	0.583333333	0.6075	0.69	0.7275	0.901666667	0.946666667
2003-02-06 13	3.0125	2.2025	1.761666667	20.55	0.4025	0.564166667	0.5925	0.6675	0.7325	0.9	0.943333333
2003-02-06 14	2.9275	2.24	1.798333333	20.46666667	0.578333333	0.4025	0.583333333	0.653333333	0.711666667	0.913333333	0.960833333
2003-02-06 15	0.83	2.235	1.810833333	20.4	0.62	0.578333333	0.564166667	0.6375	0.69	0.880833333	0.946666667
2003-02-06 16	2.7475	2.249166667	1.8375	20.30833333	0.6525	0.62	0.4025	0.640833333	0.6675	0.885833333	0.940833333
2003-02-06 17	2.9275	2.229166667	1.830833333	20.20833333	0.699166667	0.6525	0.578333333	0.629166667	0.653333333	0.906666667	0.938333333
2003-02-06 18	2.86	2.228333333	1.844166667	20.2	0.7275	0.699166667	0.62	0.625833333	0.6375	0.896666667	0.925
2003-02-06 19	2.9475	2.220833333	1.8475	20.11666667	0.743333333	0.7275	0.6525	0.608333333	0.640833333	0.88	0.901666667
2003-02-06 20	2.8775	2.22	1.846666667	20.225	0.761666667	0.743333333	0.699166667	0.639166667	0.629166667	0.861666667	0.929166667
2003-02-06 21	2.905	2.216666667	1.865833333	20.625	0.81	0.761666667	0.7275	0.6375	0.625833333	0.8525	0.926666667
2003-02-06 22	2.955	2.174166667	1.876666667	21.30833333	0.846666667	0.81	0.743333333	0.636666667	0.608333333	0.7875	0.9275
2003-02-06 23	3.0875	2.2	1.890833333	22.03333333	0.853333333	0.846666667	0.761666667	0.624166667	0.639166667	0.781666667	0.918333333
2003-02-07 00	3.085	2.1925	1.888333333	22.80833333	0.865833333	0.853333333	0.81	0.613333333	0.6375	0.804166667	0.903333333
2003-02-07 01	3.045	2.225	1.9025	23.53333333	0.874166667	0.865833333	0.846666667	0.600833333	0.636666667	0.791666667	0.890833333
2003-02-07 02	3.05	2.2	1.891666667	23.63333333	0.890833333	0.874166667	0.853333333	0.591666667	0.624166667	0.78	0.879166667
2003-02-07 03	3.095	2.205	1.924166667	23.91666667	0.885833333	0.890833333	0.865833333	0.59	0.613333333	0.755833333	0.8725
2003-02-07 04	3.1375	2.156666667	2.1875	24.01666667	0.885	0.885833333	0.874166667	0.588333333	0.600833333	0.7175	0.8575
