Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwTurbidity	FwColour	FwUvAbs254
1	2.1	7.48	17.6	0.09	84	10	0.13	4.22	0.05
2	2.1	7.48	17.6	0.09	84	12.5	0.11	3.52	0.05
3	2.1	7.48	17.6	0.09	84	15	0.12	2.81	0.05
4	2.1	7.48	17.6	0.09	84	17.5	0.1	2.11	0.04
5	2.1	7.48	17.6	0.09	84	20	0.1	3.52	0.04
6	2.1	7.48	17.6	0.09	84	22.5	0.09	1.4	0.04
7	2.1	7.48	17.6	0.09	84	25	0.08	1.4	0.04
8	2.1	7.48	17.6	0.09	84	30	0.1	2.11	0.03
9	6	7.61	6.68	0.08	59	5	0.24	4.39	0.08
10	6	7.61	6.68	0.08	59	7.5	0.12	3.63	0.07
11	6	7.61	6.68	0.08	59	10	0.09	0.57	0.06
12	6	7.61	6.68	0.08	59	12.5	0.08	2.1	0.06
13	6	7.61	6.68	0.08	59	15	0.08	1.34	0.06
14	6	7.61	6.68	0.08	59	20	0.12	1.34	0.05
15	5.8	8.63	19	0.31	206	10	0.39	19	0.32
16	5.8	8.63	19	0.31	206	20	0.1	22	0.31
17	5.8	8.63	19	0.31	206	30	0.12	19	0.29
18	5.8	8.63	19	0.31	206	40	0.07	14	0.27
19	5.8	8.63	19	0.31	206	50	0.07	15	0.25
20	5.8	8.63	19	0.31	206	60	0.05	14	0.24
21	5.8	8.63	19	0.31	206	70	0.06	13	0.22
22	5.8	8.63	19	0.31	206	75	0.03	12	0.22
23	5.8	8.63	19	0.31	206	80	0.07	10	0.21
24	5.8	8.63	19	0.31	206	90	0.11	12	0.2
25	5.8	8.63	19	0.31	206	100	0.08	7	0.19
26	1.2	8	15.5	0.22	33	10	0.52	12.58	0.2
27	2.2	9	16.5	1.22	34	11	1.52	13.58	1.2
28	1.2	8	15.5	0.22	33	20	0.23	7.47	0.17
29	1.2	8	15.5	0.22	33	22.5	0.18	8.2	0.16
30	1.2	8	15.5	0.22	33	25	0.12	7.47	0.15
31	1.2	8	15.5	0.22	33	27.5	0.12	6.74	0.15
32	1.2	8	15.5	0.22	33	30	0.14	7.47	0.14
33	1.2	8	15.5	0.22	33	35	0.17	5.28	0.13
34	2.1	7.84	37.06	0.25	55	15	1.49	24.65	0.19
35	2.1	7.84	37.06	0.25	55	20	0.7	12.24	0.14
36	2.1	7.84	37.06	0.25	55	25	0.08	8.59	0.12
37	2.1	7.84	37.06	0.25	55	35	0.05	6.4	0.1
38	2.1	7.84	37.06	0.25	55	40	0.05	3.48	0.09
39	2	7.96	26.11	0.17	53	5	1.2	24.65	0.17
40	2	7.96	26.11	0.17	53	10	1.3	17.35	0.13
41	2	7.96	26.11	0.17	53	15	0.35	6.4	0.09
42	2	7.96	26.11	0.17	53	20	0.1	4.94	0.08
43	2.9	8.11	52.72	0.37	57	35	0.23	18.42	0.21
44	2.9	8.11	52.72	0.37	57	40	0.13	14.04	0.18
45	2.9	8.11	52.72	0.37	57	45	0.12	11.12	0.16
46	2.9	8.11	52.72	0.37	57	50	0.16	9.66	0.14
47	2.9	8.11	52.72	0.37	57	55	0.16	8.2	0.13
48	104	7.98	42.5	0.16	82	10	6.1	22.8	0.13
49	104	7.98	42.5	0.16	82	20	5.1	16.96	0.1
50	104	7.98	42.5	0.16	82	22.5	2.9	8.2	0.08
51	104	7.98	42.5	0.16	82	25	1.3	7.47	0.07
52	104	7.98	42.5	0.16	82	30	0.34	6.74	0.07
53	104	7.98	42.5	0.16	82	35	0.39	6.74	0.06
54	104	7.98	42.5	0.16	82	40	0.22	4.55	0.06
55	104	7.98	42.5	0.16	82	45	0.15	5.28	0.06
56	104	7.98	42.5	0.16	82	50	0.15	6.01	0.05
57	104	7.98	42.5	0.16	82	55	0.11	6.01	0.05
58	104	7.98	42.5	0.16	82	60	0.13	4.55	0.05
59	104	7.98	42.5	0.16	82	65	0.14	4.55	0.05
60	71	8.13	17.6	0.14	123	10	1.7	12.67	0.12
61	71	8.13	17.6	0.14	123	12.5	1.4	11.26	0.11
62	71	8.13	17.6	0.14	123	15	0.92	9.15	0.11
63	71	8.13	17.6	0.14	123	17.5	0.7	9.15	0.1
64	71	8.13	17.6	0.14	123	20	0.31	9.15	0.1
65	71	8.13	17.6	0.14	123	25	0.16	7.74	0.09
66	71	8.13	17.6	0.14	123	30	0.18	8.45	0.09
67	71	8.13	17.6	0.14	123	40	0.18	4.92	0.08
68	71	8.13	17.6	0.14	123	80	0.11	4.92	0.06
69	1.59	8.02	55.64	0.38	54	20	2.1	35.93	0.29
70	1.59	8.02	55.64	0.38	54	25	2.1	24.26	0.25
71	1.59	8.02	55.64	0.38	54	30	1.37	22.07	0.23
72	1.59	8.02	55.64	0.38	54	35	0.15	16.23	0.19
73	1.59	8.02	55.64	0.38	54	40	0.15	13.31	0.17
74	1.59	8.02	55.64	0.38	54	45	0.09	11.85	0.15
75	1.59	8.02	55.64	0.38	54	50	0.07	8.93	0.13
76	7.3	7.48	34.28	0.21	96	10	1.32	13.54	0.14
77	7.3	7.48	34.28	0.21	96	20	0.1	11.32	0.13
78	7.3	7.48	34.28	0.21	96	30	0.09	9.1	0.11
79	7.3	7.48	34.28	0.21	96	40	0.11	8.36	0.11
80	7.3	7.48	34.28	0.21	96	50	0.09	6.13	0.1
81	7.3	7.48	34.28	0.21	96	60	0.07	5.39	0.1
82	7.3	7.48	34.28	0.21	96	80	0.09	5.39	0.09
83	7.3	7.48	34.28	0.21	96	100	0.08	4.65	0.09
84	3.5	7.51	13.31	0.23	38	20	0.16	6.01	0.15
85	3.5	7.51	13.31	0.23	38	22.5	0.12	6.74	0.14
86	3.5	7.51	13.31	0.23	38	25	0.13	3.82	0.13
87	3.5	7.51	13.31	0.23	38	27.5	0.1	4.55	0.13
88	3.5	7.51	13.31	0.23	38	30	0.1	5.28	0.12
89	3.5	7.51	13.31	0.23	38	35	0.1	5.28	0.11
90	3.5	7.51	13.31	0.23	38	40	0.07	3.09	0.1
91	3.5	7.51	13.31	0.23	38	45	0.08	3.82	0.09
92	3.2	7.91	35.6	0.25	75	15	0.1	18.08	0.17
93	3.2	7.91	35.6	0.25	75	20	0.1	14.43	0.15
94	3.2	7.91	35.6	0.25	75	25	0.06	13.7	0.14
95	3.2	7.91	35.6	0.25	75	30	0.07	10.05	0.13
96	3.2	7.91	35.6	0.25	75	35	0.13	8.59	0.12
97	3.2	7.91	35.6	0.25	75	40	0.04	7.86	0.11
98	4.8	8.37	31.22	0.25	124	10	0.22	20.27	0.2
99	4.8	8.37	31.22	0.25	124	20	0.08	14.43	0.17
100	4.8	8.37	31.22	0.25	124	30	0.06	11.51	0.15
101	4.8	8.37	31.22	0.25	124	40	0.09	9.32	0.14
102	4.8	8.37	31.22	0.25	124	50	0.08	7.86	0.13
103	4.8	8.37	31.22	0.25	124	60	0.03	7.86	0.12
104	1.55	8.07	8.07	0.08	95	2.5	0.33	7.33	0.08
105	1.55	8.07	8.07	0.08	95	5	0.31	5.86	0.07
106	1.55	8.07	8.07	0.08	95	7.5	0.15	5.13	0.07
107	1.55	8.07	8.07	0.08	95	10	0.1	3.65	0.06
108	1.55	8.07	8.07	0.08	95	12.5	0.09	4.39	0.06
109	1.55	8.07	8.07	0.08	95	15	0.09	3.65	0.06
110	1.55	8.07	8.07	0.08	95	20	0.08	2.18	0.05
111	1.55	8.07	8.07	0.08	95	20	0.08	2.18	0.05
112	73	7.92	41.77	0.17	155	30	0.76	18.42	0.11
113	73	7.92	41.77	0.17	155	40	0.34	18.42	0.1
114	73	7.92	41.77	0.17	155	45	0.54	21.34	0.09
115	73	7.92	41.77	0.17	155	50	0.31	20.61	0.09
116	73	7.92	41.77	0.17	155	55	0.37	17.69	0.09
117	73	7.92	41.77	0.17	155	60	0.3	14.77	0.08
118	73	7.92	41.77	0.17	155	70	0.3	15.5	0.08
119	73	7.92	41.77	0.17	155	80	0.19	11.12	0.08
120	73	7.92	41.77	0.17	155	100	0.19	10.39	0.07
121	3.1	8.45	7.02	0.08	130	5	0.4	7.75	0.07
122	3.1	8.45	7.02	0.08	130	15	0.1	4.83	0.06
123	3.1	8.45	7.02	0.08	130	20	0.06	3.37	0.06
124	3.1	8.45	7.02	0.08	130	25	0.05	2.64	0.05
125	3.1	8.45	7.02	0.08	130	30	0.1	4.1	0.05
126	3.1	8.45	7.02	0.08	130	40	0.07	1.91	0.05
127	3.1	8.45	7.02	0.08	130	60	0.09	2.64	0.04
128	4.1	7.6	33.74	0.21	59	15	0.45	8.2	0.08
129	4.1	7.6	33.74	0.21	59	20	0.08	3.82	0.07
130	4.1	7.6	33.74	0.21	59	25	0.09	4.55	0.06
131	4.1	7.6	33.74	0.21	59	30	0.08	5.28	0.05
132	4.1	7.6	33.74	0.21	59	35	0.07	3.82	0.05
133	4.1	7.6	33.74	0.21	59	40	0.04	4.55	0.04
134	4.1	7.75	76.81	0.32	61	30	0.17	12.58	0.13
135	4.1	7.75	76.81	0.32	61	35	0.05	10.39	0.12
136	4.1	7.75	76.81	0.32	61	40	0.07	7.47	0.11
137	4.1	7.75	76.81	0.32	61	45	0.08	6.74	0.09
138	4.1	7.75	76.81	0.32	61	50	0.05	5.28	0.09
139	4.1	7.75	76.81	0.32	61	55	0.05	6.01	0.08
140	3	7.86	81.92	0.49	62	40	1.44	22.8	0.23
141	3	7.86	81.92	0.49	62	50	0.2	15.5	0.18
142	3	7.86	81.92	0.49	62	60	0.1	11.85	0.15
143	3	7.86	81.92	0.49	62	70	0.06	8.93	0.13
144	3	7.86	81.92	0.49	62	75	0.07	8.93	0.12
145	46	7.71	16.23	0.1	55	10	0.72	4.55	0.05
146	46	7.71	16.23	0.1	55	15	0.46	0.9	0.04
147	46	7.71	16.23	0.1	55	20	0.17	3.82	0.04
148	46	7.71	16.23	0.1	55	25	0.09	1.63	0.04
149	46	7.71	16.23	0.1	55	30	0.07	3.82	0.03
150	46	7.71	16.23	0.1	55	35	0.05	0.9	0.03
151	5	7.98	27.18	0.15	67	10	0.48	10.39	0.13
152	5	7.98	27.18	0.15	67	15	0.13	8.93	0.11
153	5	7.98	27.18	0.15	67	20	0.16	10.39	0.1
154	5	7.98	27.18	0.15	67	25	0.11	6.01	0.09
155	5	7.98	27.18	0.15	67	30	0.18	6.01	0.08
156	30	7.97	24.26	0.14	65	15	0.34	10.39	0.11
157	30	7.97	24.26	0.14	65	20	0.31	10.39	0.1
158	30	7.97	24.26	0.14	65	25	0.19	8.2	0.09
159	30	7.97	24.26	0.14	65	30	0.2	7.47	0.09
160	30	7.97	24.26	0.14	65	35	0.13	6.74	0.08
161	30	7.97	24.26	0.14	65	40	0.13	5.28	0.07
162	0.33	7.8	18.42	0.16	65	5	0.18	16.23	0.14
163	0.33	7.8	18.42	0.16	65	10	0.09	14.77	0.12
164	0.33	7.8	18.42	0.16	65	15	0.1	9.66	0.11
165	0.33	7.8	18.42	0.16	65	20	0.09	6.74	0.1
166	0.33	7.8	18.42	0.16	65	25	0.08	8.2	0.09
167	0.33	7.8	18.42	0.16	65	30	0.2	7.47	0.08
168	51	7.55	29.36	0.22	55	20	3.2	17.69	0.16
169	51	7.55	29.36	0.22	55	25	1.85	13.31	0.14
170	51	7.55	29.36	0.22	55	30	0.55	9.66	0.12
171	51	7.55	29.36	0.22	55	35	0.17	6.01	0.11
172	51	7.55	29.36	0.22	55	40	0.13	7.47	0.1
173	51	7.55	29.36	0.22	55	45	0.19	7.47	0.09
174	51	7.55	29.36	0.22	55	50	0.09	6.01	0.08
