Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwColour
1	2.1	7.48	17.6	0.09	84	10	4.22
2	2.1	7.48	17.6	0.09	84	12.5	3.52
3	2.1	7.48	17.6	0.09	84	15	2.81
4	2.1	7.48	17.6	0.09	84	17.5	2.11
5	2.1	7.48	17.6	0.09	84	20	3.52
6	2.1	7.48	17.6	0.09	84	22.5	1.4
7	2.1	7.48	17.6	0.09	84	25	1.4
8	2.1	7.48	17.6	0.09	84	30	2.11
9	6	7.61	6.68	0.08	59	5	4.39
10	6	7.61	6.68	0.08	59	7.5	3.63
11	6	7.61	6.68	0.08	59	10	0.57
12	6	7.61	6.68	0.08	59	12.5	2.1
13	6	7.61	6.68	0.08	59	15	1.34
14	6	7.61	6.68	0.08	59	20	1.34
15	5.8	8.63	19	0.31	206	10	19
16	5.8	8.63	19	0.31	206	20	22
17	5.8	8.63	19	0.31	206	30	19
18	5.8	8.63	19	0.31	206	40	14
19	5.8	8.63	19	0.31	206	50	15
20	5.8	8.63	19	0.31	206	60	14
21	5.8	8.63	19	0.31	206	70	13
22	5.8	8.63	19	0.31	206	75	12
23	5.8	8.63	19	0.31	206	80	10
24	5.8	8.63	19	0.31	206	90	12
25	5.8	8.63	19	0.31	206	100	7
26	1.2	8	15.5	0.22	33	10	12.58
27	2.2	9	16.5	0.22	34	11	13.58
28	1.2	8	15.5	0.22	33	20	7.47
29	1.2	8	15.5	0.22	33	22.5	8.2
30	1.2	8	15.5	0.22	33	25	7.47
31	1.2	8	15.5	0.22	33	27.5	6.74
32	1.2	8	15.5	0.22	33	30	7.47
33	1.2	8	15.5	0.22	33	35	5.28
34	2.1	7.84	37.06	0.25	55	15	24.65
35	2.1	7.84	37.06	0.25	55	20	12.24
36	2.1	7.84	37.06	0.25	55	25	8.59
37	2.1	7.84	37.06	0.25	55	35	6.4
38	2.1	7.84	37.06	0.25	55	40	3.48
39	2	7.96	26.11	0.17	53	5	24.65
40	2	7.96	26.11	0.17	53	10	17.35
41	2	7.96	26.11	0.17	53	15	6.4
42	2	7.96	26.11	0.17	53	20	4.94
43	2.9	8.11	52.72	0.37	57	35	18.42
44	2.9	8.11	52.72	0.37	57	40	14.04
45	2.9	8.11	52.72	0.37	57	45	11.12
46	2.9	8.11	52.72	0.37	57	50	9.66
47	2.9	8.11	52.72	0.37	57	55	8.2
48	104	7.98	42.5	0.16	82	10	22.8
49	104	7.98	42.5	0.16	82	20	16.96
50	104	7.98	42.5	0.16	82	22.5	8.2
