Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwTurbidity
1	2.1	7.48	17.6	0.09	84	10	0.13
2	2.1	7.48	17.6	0.09	84	12.5	0.11
3	2.1	7.48	17.6	0.09	84	15	0.12
4	2.1	7.48	17.6	0.09	84	17.5	0.1
5	2.1	7.48	17.6	0.09	84	20	0.1
6	2.1	7.48	17.6	0.09	84	22.5	0.09
7	2.1	7.48	17.6	0.09	84	25	0.08
8	2.1	7.48	17.6	0.09	84	30	0.1
9	6	7.61	6.68	0.08	59	5	0.24
10	6	7.61	6.68	0.08	59	7.5	0.12
11	6	7.61	6.68	0.08	59	10	0.09
12	6	7.61	6.68	0.08	59	12.5	0.08
13	6	7.61	6.68	0.08	59	15	0.08
14	6	7.61	6.68	0.08	59	20	0.12
15	5.8	8.63	19	0.31	206	10	0.39
16	5.8	8.63	19	0.31	206	20	0.1
17	5.8	8.63	19	0.31	206	30	0.12
18	5.8	8.63	19	0.31	206	40	0.07
19	5.8	8.63	19	0.31	206	50	0.07
20	5.8	8.63	19	0.31	206	60	0.05
21	5.8	8.63	19	0.31	206	70	0.06
22	5.8	8.63	19	0.31	206	75	0.03
23	5.8	8.63	19	0.31	206	80	0.07
24	5.8	8.63	19	0.31	206	90	0.11
25	5.8	8.63	19	0.31	206	100	0.08
26	1.2	8	15.5	0.22	33	10	0.52
27	2.2	9	16.5	1.22	34	11	1.52
28	1.2	8	15.5	0.22	33	20	0.23
29	1.2	8	15.5	0.22	33	22.5	0.18
30	1.2	8	15.5	0.22	33	25	0.12
31	1.2	8	15.5	0.22	33	27.5	0.12
32	1.2	8	15.5	0.22	33	30	0.14
33	1.2	8	15.5	0.22	33	35	0.17
34	2.1	7.84	37.06	0.25	55	15	1.49
35	2.1	7.84	37.06	0.25	55	20	0.7
36	2.1	7.84	37.06	0.25	55	25	0.08
37	2.1	7.84	37.06	0.25	55	35	0.05
38	2.1	7.84	37.06	0.25	55	40	0.05
39	2	7.96	26.11	0.17	53	5	1.2
40	2	7.96	26.11	0.17	53	10	1.3
41	2	7.96	26.11	0.17	53	15	0.35
42	2	7.96	26.11	0.17	53	20	0.1
43	2.9	8.11	52.72	0.37	57	35	0.23
44	2.9	8.11	52.72	0.37	57	40	0.13
45	2.9	8.11	52.72	0.37	57	45	0.12
