Sample	RwTurbidity	RwPh	RwColour	RwUvAbs254	RwAlk	AlumDose	FwUvAbs254
1	2.1	7.48	17.6	0.09	84	10	0.05
2	2.1	7.48	17.6	0.09	84	12.5	0.05
3	2.1	7.48	17.6	0.09	84	15	0.05
4	2.1	7.48	17.6	0.09	84	17.5	0.04
5	2.1	7.48	17.6	0.09	84	20	0.04
6	2.1	7.48	17.6	0.09	84	22.5	0.04
7	2.1	7.48	17.6	0.09	84	25	0.04
8	2.1	7.48	17.6	0.09	84	30	0.03
9	6	7.61	6.68	0.08	59	5	0.08
10	6	7.61	6.68	0.08	59	7.5	0.07
11	6	7.61	6.68	0.08	59	10	0.06
12	6	7.61	6.68	0.08	59	12.5	0.06
13	6	7.61	6.68	0.08	59	15	0.06
14	6	7.61	6.68	0.08	59	20	0.05
15	5.8	8.63	19	0.31	206	10	0.32
16	5.8	8.63	19	0.31	206	20	0.31
17	5.8	8.63	19	0.31	206	30	0.29
18	5.8	8.63	19	0.31	206	40	0.27
19	5.8	8.63	19	0.31	206	50	0.25
20	5.8	8.63	19	0.31	206	60	0.24
21	5.8	8.63	19	0.31	206	70	0.22
22	5.8	8.63	19	0.31	206	75	0.22
23	5.8	8.63	19	0.31	206	80	0.21
24	5.8	8.63	19	0.31	206	90	0.2
25	5.8	8.63	19	0.31	206	100	0.19
26	1.2	8	15.5	0.22	33	10	0.2
27	2.2	9	16.5	0.22	34	11	1.2
28	1.2	8	15.5	0.22	33	20	0.17
29	1.2	8	15.5	0.22	33	22.5	0.16
30	1.2	8	15.5	0.22	33	25	0.15
31	1.2	8	15.5	0.22	33	27.5	0.15
32	1.2	8	15.5	0.22	33	30	0.14
33	1.2	8	15.5	0.22	33	35	0.13
34	2.1	7.84	37.06	0.25	55	15	0.19
35	2.1	7.84	37.06	0.25	55	20	0.14
36	2.1	7.84	37.06	0.25	55	25	0.12
37	2.1	7.84	37.06	0.25	55	35	0.1
38	2.1	7.84	37.06	0.25	55	40	0.09
39	2	7.96	26.11	0.17	53	5	0.17
40	2	7.96	26.11	0.17	53	10	0.13
41	2	7.96	26.11	0.17	53	15	0.09
42	2	7.96	26.11	0.17	53	20	0.08
43	2.9	8.11	52.72	0.37	57	35	0.21
44	2.9	8.11	52.72	0.37	57	40	0.18
45	2.9	8.11	52.72	0.37	57	45	0.16
46	2.9	8.11	52.72	0.37	57	50	0.14
47	2.9	8.11	52.72	0.37	57	55	0.13
48	104	7.98	42.5	0.16	82	10	0.13
49	104	7.98	42.5	0.16	82	20	0.1
50	104	7.98	42.5	0.16	82	22.5	0.08
51	104	7.98	42.5	0.16	82	25	0.07
52	104	7.98	42.5	0.16	82	30	0.07
53	104	7.98	42.5	0.16	82	35	0.06
54	104	7.98	42.5	0.16	82	40	0.06
55	104	7.98	42.5	0.16	82	45	0.06
56	104	7.98	42.5	0.16	82	50	0.05
57	104	7.98	42.5	0.16	82	55	0.05
58	104	7.98	42.5	0.16	82	60	0.05
59	104	7.98	42.5	0.16	82	65	0.05
60	71	8.13	17.6	0.14	123	10	0.12
61	71	8.13	17.6	0.14	123	12.5	0.11
62	71	8.13	17.6	0.14	123	15	0.11
63	71	8.13	17.6	0.14	123	17.5	0.1
64	71	8.13	17.6	0.14	123	20	0.1
65	71	8.13	17.6	0.14	123	25	0.09
66	71	8.13	17.6	0.14	123	30	0.09
67	71	8.13	17.6	0.14	123	40	0.08
68	71	8.13	17.6	0.14	123	80	0.06
69	1.59	8.02	55.64	0.38	54	20	0.29
70	1.59	8.02	55.64	0.38	54	25	0.25
71	1.59	8.02	55.64	0.38	54	30	0.23
72	1.59	8.02	55.64	0.38	54	35	0.19
73	1.59	8.02	55.64	0.38	54	40	0.17
74	1.59	8.02	55.64	0.38	54	45	0.15
75	1.59	8.02	55.64	0.38	54	50	0.13
76	7.3	7.48	34.28	0.21	96	10	0.14
77	7.3	7.48	34.28	0.21	96	20	0.13
