No	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X
1	0.371503	0.314702	0.99295	0.204234	0.188003	0.217523	0.104703	0.719668	0.855107	0.934742	0.593205	0.28943	0.670961	0.638019	0.349953	0.709341	0.734098	0.154007	0.458692	0.599033	0.722246	0.341323	0.306224	0.318265
2	0.382747	0.341323	1	0.331368	0.869584	0.25765	0.398681	0.764674	0.931582	0.954993	0.700126	0.445578	0.734098	0.564695	0.561073	0.670961	0.698274	0.297183	0.575632	0.599033	0.616886	0.476268	0.527823	0.356905
3	0.380124	0.476268	0.688047	0.303065	1	0.302162	0.40548	0.59558	0.948387	0.931397	0.749246	0.601726	0.698274	0.662879	0.722621	0.734098	0.719668	0.284226	0.650688	0.566244	0.604294	0.488264	0.447494	0.328002
4	0.37116	0.488264	0.490404	0.110997	0.467583	0.251063	0.40548	0.721282	0.925681	0.862444	0.772605	0.710183	0.719668	0.832989	0.73284	0.698274	0.764674	0.147087	0.687252	0.581864	0.635417	0.490252	0.526328	0.308378
5	0.348864	0.490252	0.508532	0.404898	0.47442	0.180205	0.40548	0.776078	0.892813	0.545773	0.659899	0.760008	0.764674	0.861125	0.617581	0.719668	0.59558	0.192355	0.642655	0.652282	0.519177	0.383307	0.299598	0.280228
6	0.347556	0.383307	0.508532	0.437154	0.389589	0.398353	0.374878	0.681893	0.867454	0.548401	0.646429	0.783703	0.59558	0.94912	0.585553	0.764674	0.721282	0.399038	0.717269	0.811408	0.418137	0.518919	0.49435	0.245813
7	0.297837	0.518919	0.508532	0.252849	0.22116	0.492555	0.353019	0.637424	0.814392	0.730217	0.679723	0.669378	0.721282	0.935256	0.641732	0.59558	0.776078	0.382961	0.689395	0.740676	0.35228	0.772387	0.761893	0.261286
8	0.318265	0.772387	0.532034	0.179174	0.448751	0.467125	0.360839	0.622726	0.897166	1	0.555378	0.655714	0.776078	0.832302	0.458631	0.721282	0.681893	0.332702	0.381584	0.740676	0.31672	0.398491	0.394712	0.291815
9	0.356905	0.398491	0.548816	0.327677	0.477592	0.551323	0.371503	0.552961	0.852527	0.897977	0.447292	0.689487	0.681893	0.737457	0.823354	0.776078	0.637424	0.506764	0.661306	0.740676	0.343513	0.385471	0.352908	0.293199
10	0.328002	0.385471	0.542774	0.32665	0.527704	0.52805	0.382747	0.375088	0.749032	0.974188	0.376843	0.563355	0.637424	0.583533	0.40404	0.681893	0.622726	0.430171	0.376162	0.638019	0.479323	0.385657	0.353491	0.286544
11	0.308378	0.385657	0.516589	0.322786	0.176329	0.44895	0.380124	0.481382	0.749385	0.954562	0.338804	0.453717	0.622726	0.677632	0.305557	0.637424	0.552961	0.363994	0.275705	0.564695	0.491396	0.495596	0.468508	0.31637
12	0.280228	0.495596	0.522132	0.346252	0.195673	0.433338	0.37116	0.506072	0.57334	0.599899	0.367464	0.382256	0.552961	0.853227	0.334444	0.622726	0.375088	0.374094	0.286836	0.662879	0.493397	0.474189	0.43215	0.317657
13	0.245813	0.474189	0.524646	0.365217	0.186059	0.338185	0.348864	0.646137	0.976276	0.596214	0.512745	0.343671	0.375088	0.755102	0.576464	0.552961	0.481382	0.314499	0.497055	0.832989	0.385766	0.45956	0.422854	0.345199
14	0.261286	0.45956	0.530189	0.141584	0.229512	0.449285	0.347556	0.642403	0.971262	0.681011	0.525659	0.372743	0.481382	0.669824	0.488732	0.375088	0.506072	0.305893	0.383698	0.861125	0.522248	0.540496	0.497019	0.315859
15	0.291815	0.540496	0.532703	0.122544	0.411455	0.527346	0.297837	0.634566	0.716679	0.593276	0.5278	0.52011	0.506072	0.540285	0.574832	0.481382	0.646137	0.356964	0.596397	0.94912	0.777341	0.481799	0.443598	0.28895
16	0.293199	0.481799	0.560394	0.287109	0.847435	0.546489	0.318265	0.593461	0.770994	0.555023	0.412664	0.53321	0.646137	0.357775	0.327208	0.506072	0.642403	0.496299	0.426647	0.935256	0.401047	0.477711	0.441693	0.266238
17	0.286544	0.477711	0.56862	0.286865	0.527381	0.548787	0.356905	0.632413	0.833419	0.550165	0.558662	0.535382	0.642403	0.465081	0.539906	0.646137	0.634566	0.443149	0.468008	0.832302	0.387943	0.44273	0.412835	0.269081
18	0.31637	0.44273	0.548816	0.100843	0.273651	0.600652	0.328002	0.715262	0.692875	0.613348	0.831543	0.418592	0.634566	0.676563	0.832105	0.642403	0.593461	0.406466	0.819371	0.737457	0.388131	0.540164	0.483844	0.340631
19	0.317657	0.540164	0.548816	0.111388	0.287049	0.689596	0.308378	0.752834	0.788594	0.650089	0.429011	0.566687	0.593461	0.691165	0.431087	0.634566	0.632413	0.389977	0.618476	0.583533	0.498775	0.584818	0.542796	0.346024
20	0.345199	0.584818	0.560007	0.270519	0.436243	0.551068	0.280228	0.678058	0.857508	0.517759	0.414993	0.843487	0.632413	0.703952	0.38543	0.593461	0.715262	0.37702	0.538798	0.677632	0.47723	0.539678	0.498013	0.300411
21	0.315859	0.539678	0.56493	0.222698	0.400457	0.562841	0.245813	0.601534	0.69648	0.568904	0.415194	0.435173	0.715262	0.85603	0.386066	0.632413	0.752834	0.398142	0.513241	0.853227	0.462508	0.580416	0.529672	0.292031
22	0.28895	0.580416	0.56493	0.236285	0.513738	0.537419	0.261286	0.660836	0.53887	0.661788	0.533553	0.420954	0.752834	0.814567	0.511683	0.715262	0.678058	0.460485	0.606029	0.755102	0.543963	0.747518	0.693597	0.308088
23	0.266238	0.747518	0.56493	0.291983	0.850265	0.482895	0.291815	0.58078	0.635466	0.713941	0.510506	0.421158	0.678058	0.884762	0.471974	0.752834	0.601534	0.479679	0.56019	0.669824	0.48489	0.706799	0.652753	0.257061
24	0.269081	0.706799	0.56493	0.281941	0.964062	0.467547	0.293199	0.5867	0.610018	0.598963	0.494758	0.541217	0.601534	0.793376	0.461822	0.678058	0.660836	0.411403	0.522086	0.540285	0.480776	0.64733	0.605891	0.249192
25	0.340631	0.64733	0.554859	0.128405	0.389033	0.412636	0.286544	0.679135	0.575158	0.596171	0.581892	0.517839	0.660836	0.651969	0.542822	0.601534	0.58078	0.326341	0.550916	0.357775	0.44557	0.662337	0.612019	0.255966
26	0.346024	0.662337	0.532703	0.303522	0.240224	0.410021	0.31637	0.584077	0.619967	0.587449	0.518699	0.501864	0.58078	0.513995	0.484477	0.660836	0.5867	0.391285	0.544168	0.465081	0.543629	0.668187	0.620012	0.234884
27	0.300411	0.668187	0.549316	0.334434	0.181205	0.308273	0.317657	0.585826	0.842086	0.495118	0.514298	0.59025	0.5867	0.580014	0.482397	0.58078	0.679135	0.335973	0.502185	0.676563	0.58857	0.654306	0.595804	0.220555
28	0.292031	0.654306	0.556873	0.131523	0.330689	0.266262	0.345199	0.634834	0.852668	0.527839	0.476638	0.52615	0.679135	0.927955	0.450879	0.5867	0.584077	0.248411	0.512542	0.691165	0.543139	0.639673	0.589793	0.229494
29	0.308088	0.639673	0.536232	0	0.430253	0.337032	0.315859	0.572169	0.664059	0.504252	0.581535	0.521686	0.584077	0.772598	0.528432	0.679135	0.585826	0.231124	0.618295	0.703952	0.584139	0.585042	0.542652	0.238528
