No	GoomallingPs-Cl.lag1	GoomallingPSInMonoCl.lag2	GoomallingPSpH.lag11	MundaringB-Turbidity.lag1	GrassValleyPS-Q.lag1	SawyersTankOutCL.lag1	GoomallingPs-Cl.lag9	WestNorthamToodyayQ.lag1	WestNorthamOutQ.lag12	MundaringNH3Dose.lag14	GoomallingPSInMonoCl.lag12	GoomallingPSInMonoCl.lag14	WestNorthamToodyayQ.lag4	GoomallingPS-WaterT.lag4	GoomallingPSInMonoN.lag12	WestNorthamToodyayQ.lag5	WestNorthamToodyayQ.lag3	SawyersTankInCL.lag1	GoomallingPSInTotalNH3.lag12	GoomallingPS-WaterT.lag13	GoomallingPSInMonoCl.lag9	GoomallingPSInMonoCl.lag1	GoomallingPSInMonoN.lag1	OutCl.7day
1	1.87285	1.28026	8.86125	0.664003	766.735	3.20696	1.11	62.2986	3645.24	19.2798	2.24158	1.0782	58.1104	25.6083	0.272233	61.4106	63.5394	3.24075	0.473801	24.7	2.91949	1.38856	0.260168	1.72063
2	1.905	1.38856	8.87	1.07734	3132.27	3.25253	1.95056	66.1685	3970.4	19.6975	2.64561	1.65989	63.5394	23.9	0.436466	58.1104	60.459	3.44871	0.594593	24.7	2.4936	1.93754	0.448439	1.83111
3	1.8975	1.93754	8.48281	0.985322	3584.9	3.30308	1.97	51.6286	4041.85	19.2108	2.83122	2.24158	60.459	26.1875	0.562136	63.5394	62.2986	3.42989	0.672122	23.9361	2.4427	1.98634	0.380191	1.74847
4	1.87187	1.98634	8.2375	0.360872	1737.06	3.24505	1.97	62.4374	3945.31	17.7886	2.91949	2.64561	62.2986	30.1507	0.570086	60.459	66.1685	3.2307	0.70989	24.3	2.56851	1.99443	0.447169	1.69236
5	1.80812	1.99443	8.26	1.3164	1760.79	3.16458	1.97	67.1491	3805.56	11.257	2.4936	2.83122	66.1685	30.8062	0.480424	62.2986	51.6286	3.29645	0.663824	25.9406	2.09864	1.55936	0.254539	1.61187
6	1.80438	1.55936	8.26	1.42127	1466.37	3.41232	1.8825	59.0504	3697.74	11.3112	2.4427	2.91949	51.6286	32.8563	0.455509	66.1685	62.4374	3.59665	0.740896	29.6479	1.69021	2.11105	0.42	1.51347
7	1.66222	2.11105	8.26	0.822061	881.812	3.5193	1.82	55.2267	3472.13	15.0613	2.56851	2.4936	62.4374	32.5333	0.499212	51.6286	67.1491	3.5733	0.712104	28	1.424	3.1422	0.647305	1.55771
8	1.72063	3.1422	8.28917	0.58253	1671.7	3.49042	1.84236	53.9628	3824.07	20.6258	2.09864	2.4427	67.1491	30.1347	0.356775	62.4374	59.0504	3.5003	0.394153	28	1.28026	1.62113	0.335348	1.645
9	1.83111	1.62113	8.31	1.06534	1771.8	3.58604	1.87285	47.964	3634.27	18.5215	1.69021	2.56851	59.0504	27.925	0.640498	67.1491	55.2267	3.75312	0.683089	28	1.38856	1.56816	0.299831	1.64896
10	1.74847	1.56816	8.3025	1.062	1945.72	3.55961	1.905	32.6692	3194.23	20.0934	1.424	2.09864	55.2267	24.3389	0.314308	59.0504	53.9628	3.64187	0.388553	25.6083	1.93754	1.56892	0.300326	1.62993
11	1.69236	1.56892	8.27	1.04944	726.218	3.46978	1.8975	41.8091	3195.73	19.6886	1.28026	1.69021	53.9628	26.5312	0.237697	55.2267	47.964	3.54575	0.284787	23.9	1.98634	2.01617	0.398045	1.71521
12	1.61187	2.01617	8.27688	1.12573	793.355	3.45205	1.87187	43.9321	2447.22	12.3734	1.38856	1.424	47.964	30.6222	0.260168	53.9628	32.6692	3.56042	0.296284	26.1875	1.99443	1.92908	0.367155	1.71889
