n	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	Y1
1	0.628871	0.364784	0.513401	0.95223	0.916195	0.635712	0.717297	0.141603	0.606969	0.0163006	0.242887
2	0.137232	0.804177	0.156679	0.400944	0.12979	0.108809	0.998925	0.218257	0.512932	0.839112	11.2586
3	0.637552	0.524287	0.493583	0.972775	0.292517	0.771358	0.526745	0.769914	0.400229	0.891529	18.3361
4	0.283315	0.352458	0.807725	0.919026	0.0697553	0.949327	0.525995	0.0860558	0.192214	0.663227	15.3057
5	0.0641713	0.020023	0.457702	0.0630958	0.23828	0.970634	0.902208	0.85092	0.266666	0.53976	1.59381
6	0.375207	0.760249	0.512535	0.667724	0.531606	0.0392803	0.437638	0.931835	0.93081	0.720952	16.2565
7	0.639979	0.354049	0.687861	0.165974	0.440105	0.880075	0.829201	0.330337	0.228968	0.893372	12.0838
8	0.35036	0.68667	0.956468	0.58864	0.657304	0.858676	0.43956	0.92397	0.398437	0.814767	20.4635
9	0.482491	0.215825	0.950252	0.920128	0.14766	0.881062	0.641081	0.431953	0.619596	0.281059	17.7976
10	0.786002	0.307458	0.447034	0.226107	0.187533	0.276235	0.556444	0.416501	0.169607	0.906804	10.1101
11	0.984752	0.935004	0.684445	0.383188	0.749771	0.368664	0.29416	0.232262	0.584489	0.244413	12.3399
12	0.15239	0.732149	0.125475	0.79347	0.164102	0.745071	0.0745298	0.950104	0.0525293	0.521563	14.3221
13	0.797798	0.732654	0.656564	0.967405	0.639458	0.759735	0.0934805	0.134902	0.52021	0.0782321	22.4715
14	0.0699064	0.204655	0.46142	0.819677	0.573319	0.755581	0.0519388	0.157807	0.999994	0.204329	11.9016
15	0.163131	0.39169	0.913027	0.819695	0.359095	0.552485	0.57943	0.452576	0.687387	0.0996401	14.1754
16	0.530808	0.757294	0.304295	0.992228	0.576971	0.877614	0.747809	0.62891	0.0354209	0.747803	23.1724
17	0.979434	0.743811	0.903366	0.983596	0.66688	0.497259	0.163968	0.830012	0.888949	0.0769947	24.0182
18	0.649707	0.248044	0.62948	0.229137	0.70062	0.316867	0.328777	0.231428	0.074161	0.633072	9.78624
19	0.510686	0.971466	0.280042	0.546107	0.719269	0.113281	0.471483	0.59254	0.944318	0.450918	20.6767
20	0.336351	0.847684	0.434513	0.00323146	0.344943	0.598481	0.833243	0.233892	0.675476	0.48295	9.4709
21	0.712087	0.182556	0.621823	0.0408643	0.413984	0.695984	0.673936	0.63764	0.347116	0.184622	4.81889
22	0.609106	0.627158	0.730729	0.328374	0.740438	0.202213	0.920914	0.684757	0.65313	0.257265	17.4397
23	0.260497	0.877384	0.686125	0.0937402	0.111276	0.361601	0.576691	0.593211	0.666557	0.288778	7.89739
24	0.775767	0.288379	0.329642	0.189751	0.984363	0.00357857	0.827391	0.331479	0.188201	0.436497	14.889
25	0.121143	0.685786	0.383832	0.774273	0.943051	0.916273	0.861917	0.203548	0.793657	0.548042	16.0791
26	0.297288	0.904932	0.909643	0.873979	0.498144	0.5762	0.162757	0.273911	0.864579	0.492399	21.9442
27	0.495977	0.291053	0.180421	0.684178	0.72755	0.139058	0.603109	0.492422	0.838134	0.724252	18.0874
28	0.178208	0.221966	0.498525	0.121259	0.138238	0.360443	0.324807	0.931895	0.908485	0.622095	3.5447
29	0.496074	0.334972	0.394327	0.658831	0.608883	0.258906	0.15123	0.072545	0.107848	0.647207	15.2217
30	0.363598	0.28827	0.331386	0.0911486	0.427328	0.934495	0.58357	0.265461	0.658747	0.761778	6.80537
31	0.883037	0.625665	0.517715	0.207844	0.557561	0.426199	0.829939	0.394388	0.244327	0.326013	13.5097
32	0.72936	0.638654	0.984845	0.338243	0.89756	0.136075	0.410788	0.00540855	0.783282	0.774386	22.1679
33	0.865535	0.721006	0.0491625	0.449105	0.986467	0.707909	0.210883	0.473894	0.865181	0.0939195	22.092
34	0.0995593	0.382896	0.301763	0.65712	0.809095	0.131702	0.0515083	0.0534223	0.457716	0.780868	14.4292
35	0.119111	0.589637	0.578635	0.529899	0.595045	0.361917	0.304285	0.888723	0.476585	0.16982	10.0387
36	0.609729	0.525747	0.618925	0.596196	0.233656	0.829808	0.0700902	0.0988374	0.923728	0.16965	15.7632
37	0.826769	0.290829	0.357193	0.878278	0.344251	0.814909	0.659146	0.0363274	0.257469	0.778257	16.2252
38	0.625964	0.836104	0.308157	0.221009	0.198021	0.612442	0.109733	0.674605	0.782262	0.719462	12.6206
39	0.315658	0.434009	0.230996	0.385748	0.532846	0.154724	0.555398	0.0145793	0.380215	0.382167	11.7163
40	0.305408	0.737408	0.260445	0.649659	0.552316	0.919591	0.685986	0.809785	0.697848	0.31195	17.0214
41	0.618447	0.642693	0.518515	0.400709	0.362154	0.718867	0.801897	0.677812	0.152876	0.0328927	16.5209
42	0.0635606	0.685722	0.187616	0.618958	0.700301	0.567831	0.00112548	0.00570914	0.305239	0.26157	13.4053
43	0.181161	0.341354	0.667341	0.879009	0.653305	0.31323	0.885014	0.186265	0.157139	0.503461	15.4623
44	0.828957	0.675654	0.90417	0.191112	0.394521	0.706067	0.868924	0.547397	0.738959	0.932485	17.06
45	0.494407	0.552568	0.939129	0.799646	0.814139	0.594497	0.657201	0.9953	0.935852	0.324541	24.2231
46	0.874309	0.589157	0.637771	0.759324	0.775421	0.79491	0.262785	0.604379	0.470564	0.166955	22.1534
47	0.873021	0.664414	0.412483	0.611981	0.596899	0.645601	0.538557	0.148342	0.579022	0.0329634	19.3318
48	0.70091	0.518151	0.832609	0.515049	0.112648	0.48981	0.510349	0.0484997	0.814351	0.384658	19.114
49	0.143982	0.413078	0.247033	0.406767	0.0174566	0.717597	0.573721	0.812947	0.582682	0.446743	6.56296
50	0.477361	0.995165	0.0587232	0.0742604	0.640766	0.59728	0.222602	0.219788	0.630243	0.923513	19.4992
51	0.438562	0.850586	0.952662	0.948911	0.899086	0.767014	0.333569	0.536742	0.219136	0.477551	27.0339
52	0.94982	0.466169	0.884318	0.967277	0.183765	0.458039	0.780224	0.766448	0.904782	0.257585	21.7035
53	0.560785	0.554448	0.622167	0.191028	0.477961	0.360105	0.65388	0.916523	0.210692	0.606542	11.9098
54	0.865434	0.109778	0.373556	0.199003	0.64652	0.592692	0.676554	0.596341	0.0588605	0.560872	8.86521
55	0.0189108	0.343841	0.00907344	0.923692	0.601427	0.770686	0.887197	0.933273	0.173065	0.447982	15.722
56	0.487721	0.795231	0.639009	0.965682	0.155336	0.292889	0.882204	0.366028	0.899431	0.747638	20.018
57	0.94664	0.122326	0.865679	0.623194	0.718666	0.92454	0.184066	0.282284	0.167165	0.202977	14.2971
58	0.626125	0.176239	0.126669	0.227552	0.946925	0.0138663	0.160824	0.119989	0.461848	0.648545	13.3719
59	0.393746	0.496431	0.436585	0.293177	0.244069	0.912391	0.566164	0.190709	0.0347164	0.431844	9.33085
60	0.813904	0.753383	0.356383	0.99797	0.0356664	0.523548	0.200947	0.661792	0.699787	0.327616	20.7473
61	0.341482	0.0501679	0.766701	0.80333	0.698713	0.681922	0.904187	0.31294	0.752479	0.297933	13.7897
62	0.809371	0.189064	0.591111	0.0534394	0.101454	0.157275	0.244149	0.136171	0.589119	0.0580523	5.61859
63	0.587011	0.168837	0.584585	0.476355	0.815549	0.926068	0.526523	0.58225	0.729398	0.225236	10.3722
64	0.264172	0.633585	0.538175	0.0166506	0.931518	0.347546	0.205714	0.522629	0.400985	0.307168	11.2398
65	0.443339	0.269022	0.703186	0.332892	0.214524	0.759208	0.258112	0.683574	0.0161775	0.845123	9.99013
66	0.852411	0.600763	0.321478	0.66796	0.52683	0.848	0.25021	0.256228	0.0732357	0.514382	20.8245
67	0.531033	0.821331	0.958957	0.736747	0.343959	0.359942	0.0439153	0.0238632	0.0050762	0.487254	23.3513
68	0.292886	0.708262	0.820146	0.50741	0.467471	0.0782579	0.190984	0.483648	0.923381	0.0433947	15.2572
69	0.711355	0.611241	0.0928584	0.961565	0.867469	0.166094	0.475947	0.757282	0.777505	0.00698012	26.8939
70	0.578613	0.736462	0.743727	0.922572	0.0964041	0.787642	0.946435	0.10148	0.274897	0.239321	21.5761
71	0.173301	0.937714	0.760862	0.0966814	0.981109	0.845273	0.34154	0.692463	0.456514	0.434398	11.2634
72	0.654029	0.323983	0.600492	0.129976	0.081265	0.377997	0.136956	0.659878	0.114459	0.880683	8.47519
