n	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	y1
1	0.2055	0.836164	0.899281	0.298128	0.591755	0.656773	0.6475	0.300663	0.241006	0.403968	0.21821	0.353061	0.960645	0.386383	0.793473	14.209
2	0.405323	0.0796531	0.630824	0.704081	0.120073	0.220102	0.948774	0.508023	0.377147	0.168944	0.827829	0.353515	0.577407	0.743412	0.559015	9.59369
3	0.413572	0.642694	0.857143	0.00532653	0.299467	0.504642	0.305989	0.540473	0.90861	0.524199	0.893534	0.869255	0.910582	0.687007	0.32403	8.95096
4	0.796411	0.523756	0.716143	0.745185	0.0317783	0.0932897	0.914129	0.859608	0.446804	0.491536	0.60302	0.00581911	0.905108	0.245714	0.862962	18.1027
5	0.910435	0.54518	0.367604	0.216424	0.0856534	0.276214	0.740623	0.979188	0.145469	0.651205	0.666195	0.469499	0.516422	0.758526	0.873181	12.669
6	0.396937	0.728605	0.300122	0.428715	0.821895	0.214251	0.288323	0.268699	0.705787	0.891343	0.274519	0.610895	0.137056	0.13748	0.52133	17.1128
7	0.682237	0.505084	0.737754	0.76789	0.781298	0.478377	0.747078	0.926767	0.129582	0.413273	0.396266	0.646004	0.171799	0.269447	0.658466	22.7706
8	0.387072	0.0268569	0.0950996	0.208967	0.241108	0.383423	0.477666	0.946895	0.274765	0.752185	0.55779	0.411822	0.889665	0.0791203	0.0940585	7.79819
9	0.394749	0.816874	0.861949	0.176047	0.295251	0.609026	0.102814	0.424833	0.0222995	0.49908	0.070837	0.194098	0.768527	0.729303	0.920833	14.1738
10	0.94769	0.530011	0.325342	0.188798	0.913434	0.803008	0.135693	0.188199	0.555193	0.693483	0.600021	0.444858	0.772604	0.694079	0.839607	16.0776
11	0.589478	0.556028	0.0156545	0.884729	0.165054	0.118469	0.309562	0.187354	0.617549	0.380399	0.381452	0.386076	0.109702	0.302285	0.820988	22.1285
12	0.350999	0.551419	0.438773	0.264432	0.354428	0.574466	0.452631	0.909621	0.267949	0.0526517	0.354478	0.040553	0.746731	0.194086	0.630031	9.46713
13	0.302759	0.20974	0.514759	0.467813	0.328209	0.824321	0.655166	0.945758	0.20472	0.0366179	0.331834	0.314422	0.338903	0.152822	0.540499	10.9307
14	0.0919185	0.027651	0.768253	0.446346	0.602117	0.220884	0.355967	0.870066	0.273535	0.710445	0.910619	0.0202663	0.904531	0.54065	0.323025	9.10594
15	0.114271	0.0554096	0.790838	0.44248	0.879731	0.446004	0.388238	0.0844505	0.482622	0.720072	0.398872	0.821524	0.872895	0.939372	0.410402	10.6243
16	0.438053	0.144968	0.477636	0.0401704	0.365852	0.833603	0.910237	0.639387	0.544048	0.820856	0.659653	0.448578	0.361506	0.982678	0.562849	3.88127
17	0.416916	0.773516	0.00532904	0.296647	0.21952	0.393567	0.381097	0.702141	0.11364	0.779969	0.523666	0.986534	0.719341	0.934068	0.363249	18.7938
18	0.508217	0.228267	0.412292	0.874069	0.0618698	0.322528	0.513456	0.605917	0.143385	0.173109	0.0544958	0.504891	0.155787	0.617345	0.921807	12.0791
19	0.929303	0.622674	0.218454	0.148823	0.0162411	0.599551	0.850964	0.129881	0.37952	0.37463	0.116415	0.0988614	0.308698	0.479664	0.849493	11.6223
20	0.745547	0.559024	0.548515	0.800043	0.0639148	0.704302	0.417388	0.985722	0.633605	0.0400619	0.204176	0.782428	0.056303	0.803726	0.633392	16.2124
21	0.186184	0.183247	0.00802165	0.302599	0.282108	0.316719	0.782263	0.131601	0.997538	0.770144	0.20936	0.090649	0.632094	0.34899	0.506288	9.62718
22	0.89458	0.129227	0.260316	0.311968	0.114948	0.893921	0.35203	0.319124	0.676349	0.408333	0.12285	0.309741	0.594516	0.306097	0.317763	8.48865
23	0.897115	0.588205	0.634482	0.679377	0.719806	0.63202	0.449521	0.929167	0.722669	0.0816149	0.278157	0.228957	0.089114	0.372694	0.294269	21.5368
24	0.423496	0.905443	0.579241	0.538444	0.799364	0.931271	0.857568	0.475713	0.339604	0.980419	0.785454	0.93412	0.286516	0.103217	0.831235	17.5289
25	0.874721	0.737699	0.510612	0.594527	0.369719	0.960134	0.523694	0.0923882	0.0417485	0.80185	0.321345	0.130862	0.174544	0.615615	0.77599	16.7046
26	0.681434	0.0210589	0.577554	0.480798	0.95233	0.435123	0.956511	0.291934	0.415541	0.741966	0.226054	0.702057	0.845183	0.0572885	0.576778	9.60249
27	0.582882	0.567901	0.171305	0.952601	0.528034	0.694998	0.0449887	0.569783	0.496849	0.366334	0.700645	0.671393	0.981949	0.476636	0.11321	21.9332
28	0.638867	0.0865988	0.0337357	0.595379	0.378532	0.449277	0.337345	0.604586	0.151333	0.182527	0.661875	0.728111	0.765409	0.229775	0.899416	14.1982
29	0.718009	0.75781	0.594414	0.762998	0.327593	0.0912629	0.129332	0.0282382	0.762655	0.111281	0.504874	0.875865	0.132339	0.662943	0.0101344	20.4198
30	0.0967332	0.764688	0.897189	0.475266	0.213965	0.234534	0.0798517	0.365298	0.417061	0.741726	0.0934095	0.18247	0.971502	0.992825	0.900479	10.3629
31	0.729312	0.58724	0.663478	0.0569044	0.678503	0.79281	0.0851425	0.441158	0.90409	0.590016	0.317023	0.0364298	0.252959	0.327158	0.767382	15.7547
32	0.532071	0.451959	0.899157	0.746036	0.686493	0.979008	0.111334	0.103554	0.720735	0.204744	0.286024	0.692236	0.197569	0.186503	0.421548	18.8354
33	0.784809	0.849981	0.478452	0.463311	0.64279	0.563595	0.904469	0.546881	0.153611	0.221493	0.58331	0.40657	0.54865	0.350693	0.96134	16.2741
34	0.6288	0.0997912	0.850706	0.740134	0.203345	0.571441	0.944878	0.489369	0.263677	0.142447	0.675872	0.685225	0.927256	0.525853	0.163677	13.8487
35	0.390567	0.168643	0.727272	0.295036	0.715524	0.880883	0.516529	0.298834	0.287454	0.0651791	0.649527	0.248793	0.0377204	0.532291	0.662092	10.3973
36	0.901225	0.965228	0.331566	0.846103	0.454597	0.595243	0.98855	0.130469	0.280468	0.915805	0.656322	0.444146	0.306372	0.824965	0.171418	16.0526
37	0.601408	0.540489	0.0523012	0.117937	0.839323	0.339755	0.183116	0.488851	0.588548	0.220837	0.0211416	0.25064	0.130255	0.182232	0.0125236	18.6501
38	0.817188	0.918109	0.562817	0.0976562	0.833915	0.219139	0.541802	0.140287	0.0441041	0.71322	0.741695	0.584593	0.765521	0.859632	0.423916	12.1739
39	0.105276	0.0427483	0.912767	0.693824	0.263585	0.933908	0.944464	0.39384	0.116141	0.956988	0.284219	0.199598	0.93474	0.506164	0.129158	10.7187
