t	x(t-1)	x(t-2)	x(t-3)	x(t-4)	x(t-5)	x(t-6)	x(t-7)	x(t-8)	x(t-9)	x(t-10)	x(t-11)	x(t-12)	x(t-13)	x(t-14)	x(t-15)	xt
1	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.108323	-0.307654	-0.268774	0.840191	-0.227897	-0.745244
2	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.108323	-0.307654	-0.268774	0.840191	1.05773
3	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.108323	-0.307654	-0.268774	0.390096
4	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.108323	-0.307654	1.62693
5	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.108323	1.88934
6	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	0.726177	-0.0554582
7	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	-0.425472	-0.16421
8	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	0.10209	0.087378
9	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	0.539401	-1.28946
10	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	1.52225	-0.359966
11	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	1.33838	-1.03849
12	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	1.40025	-1.0438
13	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.79366	-1.05501
14	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	-0.656373	-0.306492
15	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	-1.61075	0.0274357
16	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.745244	1.03315
17	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.05773	-0.0596577
18	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.390096	1.25632
19	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.62693	0.848725
20	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.88934	1.67618
21	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	-0.0554582	1.26714
22	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	-0.16421	1.42996
23	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	0.087378	0.675078
24	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.28946	-1.84659
25	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	-0.359966	-1.19864
26	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-1.03849	0.0160321
27	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	-1.0438	-0.90526
28	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	-1.05501	0.390519
29	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	-0.306492	0.993198
30	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	0.0274357	1.86611
31	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.03315	2.73317
32	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	-0.0596577	1.24831
33	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	1.25632	1.28512
34	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	0.848725	0.740123
35	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	1.67618	-1.48062
36	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	1.26714	-2.38758
37	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	1.42996	-0.764671
38	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	0.675078	-0.345246
39	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	-1.84659	2.65463
40	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	-1.19864	1.03217
41	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	0.0160321	0.98544
42	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-0.90526	-0.383757
43	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	0.390519	-1.36217
44	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	0.993198	-1.38884
45	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	1.86611	-1.4983
46	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	2.73317	0.0719705
47	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.24831	1.77298
48	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	1.28512	1.41972
49	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	0.740123	2.13877
50	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-1.48062	-1.27505
51	-1.27505	2.13877	1.41972	1.77298	0.0719705	-1.4983	-1.38884	-1.36217	-0.383757	0.98544	1.03217	2.65463	-0.345246	-0.764671	-2.38758	-2.7392
