t	xt	xt.lag1	xt.lag2	xt.lag3	xt.lag4	xt.lag5	xt.plus1
6	-3.14989	0.791837	-0.4249	1.76427	3.09667	-0.444258	-1.94298
7	-1.94298	-3.14989	0.791837	-0.4249	1.76427	3.09667	1.02356
8	1.02356	-1.94298	-3.14989	0.791837	-0.4249	1.76427	-0.391231
9	-0.391231	1.02356	-1.94298	-3.14989	0.791837	-0.4249	2.91582
10	2.91582	-0.391231	1.02356	-1.94298	-3.14989	0.791837	1.50072
11	1.50072	2.91582	-0.391231	1.02356	-1.94298	-3.14989	-0.276574
12	-0.276574	1.50072	2.91582	-0.391231	1.02356	-1.94298	1.34306
13	1.34306	-0.276574	1.50072	2.91582	-0.391231	1.02356	-2.73718
14	-2.73718	1.34306	-0.276574	1.50072	2.91582	-0.391231	0.956967
15	0.956967	-2.73718	1.34306	-0.276574	1.50072	2.91582	2.611
16	2.611	0.956967	-2.73718	1.34306	-0.276574	1.50072	-1.36097
17	-1.36097	2.611	0.956967	-2.73718	1.34306	-0.276574	2.96762
18	2.96762	-1.36097	2.611	0.956967	-2.73718	1.34306	1.35621
19	1.35621	2.96762	-1.36097	2.611	0.956967	-2.73718	-1.93417
20	-1.93417	1.35621	2.96762	-1.36097	2.611	0.956967	0.526831
21	0.526831	-1.93417	1.35621	2.96762	-1.36097	2.611	-2.90339
22	-2.90339	0.526831	-1.93417	1.35621	2.96762	-1.36097	-1.71514
23	-1.71514	-2.90339	0.526831	-1.93417	1.35621	2.96762	1.70096
24	1.70096	-1.71514	-2.90339	0.526831	-1.93417	1.35621	-0.3109
25	-0.3109	1.70096	-1.71514	-2.90339	0.526831	-1.93417	3.33792
26	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.526831	0.96772
27	0.96772	3.33792	-0.3109	1.70096	-1.71514	-2.90339	0.938369
28	0.938369	0.96772	3.33792	-0.3109	1.70096	-1.71514	0.331488
29	0.331488	0.938369	0.96772	3.33792	-0.3109	1.70096	-2.19403
30	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.3109	-1.61573
31	-1.61573	-2.19403	0.331488	0.938369	0.96772	3.33792	-0.824866
32	-0.824866	-1.61573	-2.19403	0.331488	0.938369	0.96772	-1.76098
33	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	0.938369	2.23079
34	2.23079	-1.76098	-0.824866	-1.61573	-2.19403	0.331488	-0.485127
35	-0.485127	2.23079	-1.76098	-0.824866	-1.61573	-2.19403	-1.09871
36	-1.09871	-0.485127	2.23079	-1.76098	-0.824866	-1.61573	0.235462
37	0.235462	-1.09871	-0.485127	2.23079	-1.76098	-0.824866	-3.26603
38	-3.26603	0.235462	-1.09871	-0.485127	2.23079	-1.76098	0.0770828
39	0.0770828	-3.26603	0.235462	-1.09871	-0.485127	2.23079	1.24225
40	1.24225	0.0770828	-3.26603	0.235462	-1.09871	-0.485127	0.953262
41	0.953262	1.24225	0.0770828	-3.26603	0.235462	-1.09871	4.52027
42	4.52027	0.953262	1.24225	0.0770828	-3.26603	0.235462	-0.487122
43	-0.487122	4.52027	0.953262	1.24225	0.0770828	-3.26603	3.36374
44	3.36374	-0.487122	4.52027	0.953262	1.24225	0.0770828	0.871774
45	0.871774	3.36374	-0.487122	4.52027	0.953262	1.24225	-3.53638
46	-3.53638	0.871774	3.36374	-0.487122	4.52027	0.953262	1.67659
47	1.67659	-3.53638	0.871774	3.36374	-0.487122	4.52027	0.338683
48	0.338683	1.67659	-3.53638	0.871774	3.36374	-0.487122	-1.93589
49	-1.93589	0.338683	1.67659	-3.53638	0.871774	3.36374	1.09208
50	1.09208	-1.93589	0.338683	1.67659	-3.53638	0.871774	-0.596721
51	-0.596721	1.09208	-1.93589	0.338683	1.67659	-3.53638	-0.61856
52	-0.61856	-0.596721	1.09208	-1.93589	0.338683	1.67659	-1.54149
