t	xt
1	-0.444258
2	3.09667
3	1.76427
4	-0.4249
5	0.791837
6	-3.14989
7	-1.94298
8	1.02356
9	-0.391231
10	2.91582
11	1.50072
12	-0.276574
13	1.34306
14	-2.73718
15	0.956967
16	2.611
17	-1.36097
18	2.96762
19	1.35621
20	-1.93417
21	0.526831
22	-2.90339
23	-1.71514
24	1.70096
25	-0.3109
26	3.33792
27	0.96772
28	0.938369
29	0.331488
30	-2.19403
31	-1.61573
32	-0.824866
33	-1.76098
34	2.23079
35	-0.485127
36	-1.09871
37	0.235462
38	-3.26603
39	0.0770828
40	1.24225
41	0.953262
42	4.52027
43	-0.487122
44	3.36374
45	0.871774
46	-3.53638
47	1.67659
48	0.338683
49	-1.93589
50	1.09208
51	-0.596721
52	-0.61856
53	-1.54149
54	-1.9633
55	0.351484
56	0.352438
57	1.40383
58	2.40259
59	-0.693323
60	-0.579331
61	0.683668
62	-0.260922
63	3.13333
64	1.54129
65	-0.417065
66	0.588928
67	-1.81218
68	0.452961
69	-0.495279
70	-1.20543
71	0.0174603
72	-1.11159
73	-1.17236
74	0.424417
75	-1.33255
76	1.99177
77	2.37913
78	0.21339
79	0.995557
80	-2.16314
81	-2.04752
82	-0.692713
83	-0.195118
84	1.06002
85	-1.41157
86	-1.77677
87	0.223908
88	-0.416547
89	0.120452
90	2.53998
91	1.29694
92	1.23855
93	-1.25564
94	-0.489252
95	-0.171799
96	-0.999913
97	1.26069
98	-1.71136
99	-0.73372
100	-0.802526
101	-1.08915
102	1.94233
103	0.772925
104	1.80796
105	2.60786
106	-0.218942
107	-0.444635
108	-1.50373
109	-1.84641
110	0.120377
111	-0.321961
112	1.99806
113	0.239318
114	0.00616415
115	-0.61938
116	-3.27116
117	-1.63593
118	0.572877
119	1.26842
120	0.878794
121	0.624034
122	-1.03272
123	0.910923
124	0.173208
125	-1.03647
126	-0.435422
127	-1.62387
128	-0.107862
129	-0.127031
130	-0.622944
131	1.4184
132	-1.97523
133	-1.21885
134	0.427937
135	-0.905564
136	1.48482
137	2.38956
138	-0.649208
139	-0.456416
140	-0.892679
141	-0.221982
142	1.41672
143	0.210108
144	-0.310221
145	-0.487914
146	-1.24639
147	0.274671
148	2.01672
149	1.05843
150	-0.0480802
151	-1.75727
152	-0.799776
153	-0.013797
154	1.67161
155	5.54794
156	1.14528
157	-0.739343
158	-0.859366
159	-3.93625
160	-1.93095
161	-1.07519
162	0.753259
163	1.23973
164	-2.83957
165	-1.13735
166	-0.100418
167	1.1361
168	4.41801
169	3.95934
170	0.636721
171	-0.262013
172	-5.13257
173	-4.14385
174	-0.709264
175	-1.10073
176	1.28946
177	0.815313
178	-2.06473
179	-0.387615
180	-1.30989
181	1.09598
182	3.09555
183	0.891711
184	2.37384
185	-2.385
186	-3.02811
187	0.871588
188	-1.2676
189	-0.0130263
190	2.01869
191	-2.3161
192	1.30294
193	-0.719076
194	0.153582
195	3.77637
196	-0.939504
197	1.1478
198	1.86828
199	-3.04604
200	0.220049
201	-1.07249
202	-1.06903
203	1.83161
204	-1.69274
205	1.87764
206	-0.409883
207	-3.23206
208	2.70746
209	0.426739
210	2.2834
211	2.59945
212	-3.0599
213	1.11223
214	-2.94766
215	-1.011
216	2.92326
217	-1.34622
218	-0.111065
219	1.10778
220	-2.49034
221	0.472445
222	-0.237152
223	1.0167
224	3.29839
225	-0.710291
226	1.62509
227	0.333897
228	-2.4238
229	0.758333
230	-0.0766165
231	1.36492
232	1.08212
233	0.520933
234	0.158548
235	-2.82113
236	-1.95271
237	2.27674
238	0.878234
239	3.33896
240	0.160376
241	-1.04815
242	-1.14329
243	-0.998269
244	1.20594
245	1.80172
246	-1.52648
247	0.402625
248	-3.21438
249	-1.69973
250	1.46786
251	2.14766
252	2.41193
253	2.06363
254	-2.14484
255	-2.2368
256	-1.42639
257	1.00482
258	3.13396
259	3.60427
260	2.20397
261	-1.58121
262	-3.71626
263	-2.72655
264	-1.46006
265	0.709351
266	2.97608
267	0.0442287
268	-0.367486
269	-1.67315
270	-1.02831
271	1.56152
272	2.10566
273	0.0541722
274	0.437179
275	-3.39014
276	-1.85369
277	-1.02654
278	1.27862
279	3.69356
280	-1.42933
281	-1.21824
282	-1.12101
283	-3.23578
284	0.482556
285	2.80339
286	2.79471
287	2.22074
288	-1.46443
289	-0.869636
290	-2.24547
291	-1.89006
292	1.36724
293	-0.467625
294	-0.329186
295	-1.09689
296	-2.51115
297	-0.305381
298	-0.917468
299	0.964234
300	1.6269
301	-0.756731
302	1.03016
303	1.10055
304	-1.1289
305	1.11868
306	0.577468
307	-1.23982
308	0.762259
309	-0.596109
310	0.785535
311	-0.121632
312	-0.697191
313	-1.44097
314	-1.73839
315	-0.396545
316	1.77743
317	0.66127
318	0.727107
319	0.616801
320	0.740489
321	-0.00289626
322	0.878595
323	1.52907
324	0.253962
325	0.62334
326	0.555956
327	-0.990264
328	-1.83769
329	-0.478088
330	-1.60497
331	-0.680236
332	0.741377
333	-1.88879
334	-0.661477
335	-0.464279
336	0.794036
337	3.01818
338	1.30914
339	1.19224
340	0.0500061
341	-2.26167
342	1.56314
343	0.275398
344	1.04966
345	0.594528
346	-3.70498
347	-1.64498
348	-3.27102
349	-1.61033
350	2.43152
351	0.792138
352	2.54349
353	0.233583
354	-2.96877
355	1.61863
356	-1.04371
357	1.23672
358	2.54976
359	-1.43072
360	0.139953
361	-2.79793
362	-2.05353
363	1.99071
364	-1.28325
365	2.05042
366	-0.176882
367	-3.47443
368	2.80234
369	-1.22039
370	1.67852
371	5.55637
372	-0.603883
373	2.42223
374	-1.56662
375	-5.3415
376	-0.623308
377	-5.03773
378	2.0895
379	2.82485
380	-1.08534
381	3.37136
382	-3.46629
383	-0.625421
384	2.53381
385	-2.39069
386	2.88116
387	0.449643
388	-2.09851
389	1.32689
390	-4.43891
391	-0.861809
392	1.41283
393	-2.69822
394	3.26688
395	-0.697977
396	-1.67794
397	1.58654
398	-1.20323
399	3.20518
400	2.87568
401	-1.11333
402	0.469388
403	-1.85239
404	-2.54707
405	1.50939
406	-1.19618
407	2.90804
408	1.36389
409	-1.82323
410	1.0927
411	-1.58352
412	0.26138
413	1.85094
414	-1.90596
415	1.24522
416	-0.994157
417	-2.1722
418	1.77397
419	-2.96262
420	0.995305
421	4.52812
422	-1.01545
423	2.6335
424	-0.211624
425	-3.44426
426	1.75945
427	-1.77907
428	0.91047
429	1.03228
430	-4.3244
431	-1.52852
432	-3.14772
433	-3.28621
434	4.04145
435	1.30323
436	3.71006
437	2.69759
438	-3.03802
439	-0.283365
440	-0.566255
441	0.902832
442	4.8828
443	-1.33301
444	-1.42705
445	-2.76147
446	-5.7832
447	-0.579415
448	0.0111653
449	2.3061
450	1.25966
451	-2.88985
452	-1.78936
453	-2.15064
454	1.31819
455	6.9589
456	2.85689
457	2.19321
458	-1.27734
459	-6.17763
460	-3.22436
461	-3.24315
462	2.14435
463	2.0436
464	-0.760059
465	0.254052
466	-2.06271
467	-0.730451
468	0.614768
469	1.49625
470	3.40167
471	1.85083
472	-0.276564
473	-0.721209
474	-2.51154
475	-0.146606
476	0.504628
477	-2.25872
478	0.64315
479	-3.05746
480	-2.98294
481	-0.238591
482	0.147546
483	5.04121
484	2.9382
485	1.85111
486	3.22184
487	-1.6371
488	1.31184
489	0.56039
490	-1.9541
491	-0.178758
492	-1.27809
493	-1.66975
494	0.462428
495	-1.14776
496	1.56518
497	0.477081
498	0.811048
499	2.19853
500	1.07054
