Sample	Chl-a(t-1)	Chl-a(t-2)	Chl-a(t-3)	Chl-a(t-4)	Chl-a(t-5)	SiO2(t-1)	SiO2(t-2)	SiO2(t-3)	SiO2(t-4)	SiO2(t-5)	pH(t-1)	pH(t-2)	pH(t-3)	pH(t-4)	pH(t-5)	secchi(t-1)	secchi(t-2)	secchi(t-3)	secchi(t-4)	secchi(t-5)	turbidity(t-1)	turbidity(t-2)	turbidity(t-3)	turbidity(t-4)	turbidity(t-5)	colour(t-1)	colour(t-2)	colour(t-3)	colour(t-4)	colour(t-5)	TKN(t-1)	TKN(t-2)	TKN(t-3)	TKN(t-4)	TKN(t-5)	Phosphorus(t-1)	Phosphorus(t-2)	Phosphorus(t-3)	Phosphorus(t-4)	Phosphorus(t-5)	Level(t-1)	Level(t-2)	Level(t-3)	Level(t-4)	Level(t-5)	Flow(t-1)	Flow(t-2)	Flow(t-3)	Flow(t-4)	Flow(t-5)	Chl-a(t)
12-Jun-00	6.931035	9.000000	8.714286	7.042857	7.755173	0.186207	0.111111	0.214286	0.314286	0.441379	7.212069	6.885000	7.137857	6.927143	6.636551	1.980349	1.864192	1.748035	1.631878	1.515720	3.219516	4.306000	5.116762	3.590952	4.450477	5.000000	5.000000	5.000000	4.857143	4.137931	0.290000	0.302414	0.383333	0.407143	0.378571	0.010000	0.011111	0.020000	0.018571	0.011379	0.6162143	0.6310714	0.5310357	0.4939286	0.5152143	24.39043	33.81303	9.029893	6.245036	8.058107	6.600000
10-Jul-00	6.600000	6.931035	9.000000	8.714286	7.042857	0.200000	0.186207	0.111111	0.214286	0.314286	7.306364	7.212069	6.885000	7.137857	6.927143	2.096507	1.980349	1.864192	1.748035	1.631878	2.311774	3.219516	4.306000	5.116762	3.590952	5.000000	5.000000	5.000000	5.000000	4.857143	0.308095	0.290000	0.302414	0.383333	0.407143	0.009273	0.010000	0.011111	0.020000	0.018571	0.50775	0.6162143	0.6310714	0.5310357	0.4939286	7.490214	24.39043	33.81303	9.029893	6.245036	5.423810
7-Aug-00	5.423810	6.600000	6.931035	9.000000	8.714286	0.380952	0.200000	0.186207	0.111111	0.214286	7.442143	7.306364	7.212069	6.885000	7.137857	2.212664	2.096507	1.980349	1.864192	1.748035	1.820952	2.311774	3.219516	4.306000	5.116762	5.000000	5.000000	5.000000	5.000000	5.000000	0.375000	0.308095	0.290000	0.302414	0.383333	0.011714	0.009273	0.010000	0.011111	0.020000	0.5996786	0.50775	0.6162143	0.6310714	0.5310357	28.48311	7.490214	24.39043	33.81303	9.029893	5.114285
4-Sep-00	5.114285	5.423810	6.600000	6.931035	9.000000	0.400000	0.380952	0.200000	0.186207	0.111111	7.385357	7.442143	7.306364	7.212069	6.885000	2.385714	2.212664	2.096507	1.980349	1.864192	4.358214	1.820952	2.311774	3.219516	4.306000	4.071428	5.000000	5.000000	5.000000	5.000000	0.296429	0.375000	0.308095	0.290000	0.302414	0.017571	0.011714	0.009273	0.010000	0.011111	0.6639643	0.5996786	0.50775	0.6162143	0.6310714	33.35254	28.48311	7.490214	24.39043	33.81303	4.357143
2-Oct-00	4.357143	5.114285	5.423810	6.600000	6.931035	0.400000	0.400000	0.380952	0.200000	0.186207	7.342857	7.385357	7.442143	7.306364	7.212069	1.900000	2.385714	2.212664	2.096507	1.980349	2.382143	4.358214	1.820952	2.311774	3.219516	2.142857	4.071428	5.000000	5.000000	5.000000	0.299286	0.296429	0.375000	0.308095	0.290000	0.016143	0.017571	0.011714	0.009273	0.010000	0.6541786	0.6639643	0.5996786	0.50775	0.6162143	23.54154	33.35254	28.48311	7.490214	24.39043	4.114285
30-Oct-00	4.114285	4.357143	5.114285	5.423810	6.600000	0.400000	0.400000	0.400000	0.380952	0.200000	7.340000	7.342857	7.385357	7.442143	7.306364	1.985714	1.900000	2.385714	2.212664	2.096507	4.299643	2.382143	4.358214	1.820952	2.311774	3.392857	2.142857	4.071428	5.000000	5.000000	0.290714	0.299286	0.296429	0.375000	0.308095	0.016000	0.016143	0.017571	0.011714	0.009273	0.4827857	0.6541786	0.6639643	0.5996786	0.50775	6.101714	23.54154	33.35254	28.48311	7.490214	3.264286
27-Nov-00	3.264286	4.114285	4.357143	5.114285	5.423810	0.400000	0.400000	0.400000	0.400000	0.380952	7.247143	7.340000	7.342857	7.385357	7.442143	2.185714	1.985714	1.900000	2.385714	2.212664	3.420000	4.299643	2.382143	4.358214	1.820952	4.892857	3.392857	2.142857	4.071428	5.000000	0.345714	0.290714	0.299286	0.296429	0.375000	0.016000	0.016000	0.016143	0.017571	0.011714	0.4726071	0.4827857	0.6541786	0.6639643	0.5996786	5.120572	6.101714	23.54154	33.35254	28.48311	3.014286
25-Dec-00	3.014286	3.264286	4.114285	4.357143	5.114285	0.492857	0.400000	0.400000	0.400000	0.400000	7.128572	7.247143	7.340000	7.342857	7.385357	1.921429	2.185714	1.985714	1.900000	2.385714	2.137500	3.420000	4.299643	2.382143	4.358214	5.000000	4.892857	3.392857	2.142857	4.071428	0.358966	0.345714	0.290714	0.299286	0.296429	0.015071	0.016000	0.016000	0.016143	0.017571	0.6196429	0.4726071	0.4827857	0.6541786	0.6639643	33.35968	5.120572	6.101714	23.54154	33.35254	7.662069
22-Jan-01	7.662069	3.014286	3.264286	4.114285	4.357143	0.500000	0.492857	0.400000	0.400000	0.400000	7.070690	7.128572	7.247143	7.340000	7.342857	1.541379	1.921429	2.185714	1.985714	1.900000	4.246035	2.137500	3.420000	4.299643	2.382143	5.000000	5.000000	4.892857	3.392857	2.142857	0.369259	0.358966	0.345714	0.290714	0.299286	0.014103	0.015071	0.016000	0.016000	0.016143	0.6690357	0.6196429	0.4726071	0.4827857	0.6541786	37.99504	33.35968	5.120572	6.101714	23.54154	7.829630
19-Feb-01	7.829630	7.662069	3.014286	3.264286	4.114285	0.314815	0.500000	0.492857	0.400000	0.400000	7.495556	7.070690	7.128572	7.247143	7.340000	1.500000	1.541379	1.921429	2.185714	1.985714	3.252315	4.246035	2.137500	3.420000	4.299643	4.074074	5.000000	5.000000	4.892857	3.392857	0.343103	0.369259	0.358966	0.345714	0.290714	0.019556	0.014103	0.015071	0.016000	0.016000	0.502	0.6690357	0.6196429	0.4726071	0.4827857	6.835571	37.99504	33.35968	5.120572	6.101714	4.572413
