n	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	y1
1	4.48941	-4.92813	-1.63687	1.31581	-1.73578	4.3677	2.98092	-0.565578	4.58827	3.17187	0.834813	-0.043935	-2.46123	-2.82844	2.21972	0.140505
2	-2.17031	-1.19641	0.507528	-4.2556	-3.10485	-4.30863	0.731723	-2.67691	-3.03411	4.03972	4.24292	-0.126499	1.84316	-1.79797	-0.637084	0.206707
3	1.91503	1.56515	-4.32128	-4.82076	0.932853	3.65964	-0.386334	0.521127	1.83151	-4.55152	-4.52281	4.37028	-2.37996	2.69691	2.96057	0.261905
4	-3.23584	-3.64864	-3.729	-1.34069	-2.95727	2.00272	0.982399	-0.991378	1.04244	0.225314	3.88212	-2.1144	3.42734	-1.75496	4.80063	-0.262481
5	-0.0075067	-1.07624	4.97987	-4.07465	-2.41659	-0.406464	1.44647	4.41492	0.0420148	1.92366	3.7852	2.66205	-0.379426	1.74577	-1.49411	0.822798
6	-0.142751	1.41816	-2.83076	1.89998	-1.57912	3.15164	-4.0914	4.46333	-1.62304	4.79073	-2.65107	-3.1957	-1.96424	-2.85045	1.79679	0.812899
7	1.95953	-2.87058	2.72214	4.54293	1.72296	-0.83139	3.95785	-3.23503	-3.90772	2.74306	4.42703	0.712849	-0.51117	-2.06709	-4.13998	-0.165789
8	2.27818	0.168008	-0.309859	-4.30093	-1.68035	0.598743	-4.83761	1.69661	0.389469	-2.48868	3.5009	3.42523	-0.339125	0.297695	0.384761	0.430588
9	1.7903	-1.98017	-0.0723055	-1.48674	2.18844	-1.11445	0.27823	3.28072	-3.3714	-0.294745	-1.00643	1.11743	2.63817	-0.146417	4.1162	0.192152
10	-0.715793	-4.88153	-2.16917	2.60386	0.717211	-2.00678	-0.699534	-3.89332	0.504545	-2.19863	4.53191	-4.83458	3.09907	-0.0833245	1.95572	-0.343732
11	-3.8811	4.84437	-4.53103	3.30734	-1.27008	0.747203	1.58806	0.358523	-4.54754	-4.41838	-3.52404	3.09062	0.435206	-4.40784	-1.48105	0.150764
12	-1.36258	-4.6022	-2.51978	4.35463	-1.60898	1.78069	-4.53869	3.89557	4.58206	4.99323	4.06099	2.68112	-0.0900991	1.01671	3.80002	-0.215404
13	-0.245729	1.48568	2.10736	3.48419	-2.76712	-1.30458	-1.15729	-2.31466	-0.722959	0.318669	-4.22404	4.71225	0.910825	-0.705085	2.27922	0.775278
14	2.28696	-3.93196	-4.95191	2.74828	4.96361	4.63015	2.7415	4.0246	2.31127	-2.3486	0.0413098	1.1113	2.40567	-3.47301	-1.78134	-0.289785
15	0.889862	-1.24013	1.91407	4.73257	1.44521	-3.80889	0.0512437	2.22118	-4.09664	-4.03793	-3.48391	3.18258	-3.25074	4.44842	0.859598	0.656482
16	1.92764	0.0647582	-0.516335	1.89126	-0.30509	-2.77483	0.91586	-2.99382	-0.123432	-4.04283	3.11748	-2.71776	-2.51584	-3.66386	3.1721	0.691341
17	1.24403	3.25021	2.90468	-2.31076	4.44132	-2.04408	4.91042	-4.65532	-1.08201	-3.57349	3.52726	0.667245	-4.12506	-0.613139	-4.31609	-0.0585619
18	0.748667	-2.90601	3.20576	-4.55642	-0.680845	-0.878379	-2.55024	4.19572	0.0787907	-4.43276	-3.52204	2.56295	-3.09662	4.65007	-1.19302	-0.00533266
19	-4.84641	2.55474	1.49623	4.59491	-4.48933	1.40665	4.93959	-0.571345	2.83316	3.46685	-4.9041	3.70809	-2.14628	-4.22019	1.31841	-0.229743
20	3.4124	-2.62602	1.97205	-2.26844	1.4956	4.42181	-3.07272	-3.42561	4.98906	-1.59475	4.13734	-3.10757	-1.94469	-2.05568	-2.95398	-0.032835
21	-4.38994	4.44055	-3.35907	-3.87928	0.847193	-3.41948	0.549378	-1.31965	-4.95263	0.645279	-2.61156	-2.09891	1.42509	3.70685	2.06931	-0.107285
22	4.44329	4.92562	4.85082	0.938887	4.34743	-3.2219	2.51328	4.33649	0.183346	1.65062	-3.77108	3.23866	4.59494	-1.72506	3.84872	0.156387
23	4.03549	-0.0841292	4.96944	-0.117319	1.49639	0.518818	3.56303	1.54377	-3.8359	-4.04853	4.44486	2.58919	4.65832	1.51416	-4.45725	-0.0255819
24	-4.53163	1.6284	-3.10366	4.8158	3.4065	4.40962	4.15229	-1.41016	1.06023	-4.61879	-3.1715	0.655173	-1.34385	-4.32278	-0.309339	-0.116255
25	3.57203	-4.35334	4.57334	0.0684167	1.16547	3.13637	-3.38782	2.32957	4.08784	-3.94296	-0.0812435	3.74616	2.5712	0.461506	0.52374	-0.281416
26	-2.84786	0.42499	0.745673	-4.44137	-0.165395	-0.102037	-0.851526	-4.10516	0.279175	0.976974	1.55001	3.93533	1.65419	-3.75933	2.50736	0.199778
27	2.30085	-4.18598	-2.42423	-1.53368	3.95039	-0.812046	-4.20411	3.03823	0.244991	0.714649	1.78439	-2.18381	-3.82384	-2.69187	1.34484	-0.032115
28	-3.23017	-2.1483	0.0188959	1.60444	2.74966	4.16737	2.49928	-1.97116	0.144344	-0.950711	-3.03583	-3.20147	0.289963	4.47153	4.09938	-0.218695
29	1.10398	-2.9527	-2.4343	0.0543649	1.23525	-1.6384	-1.90741	-3.51976	4.07625	4.87698	-0.703564	-4.7476	-2.8149	-4.35872	2.35843	0.071577
30	-4.78987	-3.33574	4.01555	2.9598	-4.16837	1.51483	-4.01136	0.975976	-4.43588	-2.04719	2.77451	0.854081	-2.57567	1.87389	-3.04194	-0.191922
31	-0.52837	4.4396	2.01242	-4.29312	-2.19881	-4.89499	-2.81287	-3.12256	4.98199	1.48356	-2.87016	-2.83291	2.12484	4.48827	3.81246	-0.181251
32	0.0663341	3.64684	2.28433	0.630452	-3.40036	0.0588443	-3.51547	-0.976025	-3.06726	-1.55741	3.49561	-3.62767	-4.54498	4.20249	-0.826473	-0.182742
33	-4.43997	-3.61039	1.05097	-4.45798	2.87318	3.18081	-2.29088	-0.00198124	2.66908	-3.47842	-0.466027	2.36748	-3.0017	-1.91452	0.0256777	-0.147667
34	-1.32749	-4.40901	-1.21774	0.272157	0.649837	0.266798	4.29613	2.58257	3.70939	2.79174	3.95491	4.16441	1.99423	-1.87156	4.72444	-0.113994
35	3.38384	4.1794	-4.73354	1.25702	2.36021	-2.02442	-3.74496	0.029284	-0.502842	0.78901	-2.60324	1.49546	3.87449	2.42244	4.80212	-0.113368
36	-4.60689	-4.19143	1.36711	1.04295	1.07536	0.663243	-1.37448	-0.215246	-1.54502	-2.41957	-1.05084	-4.55079	0.708869	-1.3264	3.83305	-0.0723121
37	-0.111729	-1.05994	0.0900665	-2.75152	1.91564	1.3451	2.27776	-3.5872	-2.86589	4.67452	2.90826	-3.9914	2.09697	2.71038	3.0349	0.869999
38	3.84347	-0.44097	-0.853556	-0.0811684	-4.77773	2.77197	4.70359	-1.32275	-4.6476	-1.34725	-0.873539	1.06127	2.32634	-2.04049	-4.05046	-0.124311
