t	x(t-1)	x(t-2)	x(t-3)	x(t-4)	x(t-5)	x(t-6)	x(t-7)	x(t-8)	x(t-9)	x(t-10)	x(t-11)	x(t-12)	x(t-13)	x(t-14)	x(t-15)	xt
1	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0264828	0.101839	0.0417931	0.0601473	0.0279392	-0.0473644
2	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0264828	0.101839	0.0417931	0.0601473	0.0686905
3	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0264828	0.101839	0.0417931	0.112643
4	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0264828	0.101839	0.041256
5	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0264828	0.00730224
6	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	0.0336478	0.0717093
7	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	0.0740825	-0.0280218
8	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	-0.104896	-0.101504
9	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.0552518	0.165941
10	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.0557468	0.10549
11	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0123375	0.000499744
12	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	0.0455325	0.0474061
13	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0511994	-0.0668417
14	-0.0668417	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.0525446	0.0812225
15	0.0812225	-0.0668417	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	-0.027187	0.121012
16	0.121012	0.0812225	-0.0668417	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	-0.0473644	0.1935
17	0.1935	0.121012	0.0812225	-0.0668417	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0686905	0.015465
18	0.015465	0.1935	0.121012	0.0812225	-0.0668417	0.0474061	0.000499744	0.10549	0.165941	-0.101504	-0.0280218	0.0717093	0.00730224	0.041256	0.112643	0.0328703
